time[s] ch1[V] ch2[V]
-4.095999999999999815e-03 -2.220569156671607924e-01 -1.667430473362420396e-01
-4.094999999999999682e-03 -2.190390648389626549e-01 -1.450323627625091372e-01
-4.093999999999999549e-03 -2.207156486324060585e-01 -1.694568829079586558e-01
-4.092999999999999416e-03 -2.220569156671607924e-01 -1.697961123544232398e-01
-4.092000000000000151e-03 -2.022732269045286191e-01 -1.477461983342257534e-01
-4.091000000000000018e-03 -2.220569156671607924e-01 -1.697961123544232398e-01
-4.089999999999999886e-03 -2.197096983563400219e-01 -1.664038178897774556e-01
-4.088999999999999753e-03 -2.223922324258494621e-01 -1.680999651221003477e-01
-4.087999999999999620e-03 -2.197096983563400219e-01 -1.711530301402815479e-01
-4.086999999999999487e-03 -2.220569156671607924e-01 -1.691176534614940719e-01
-4.086000000000000222e-03 -2.230628659432268290e-01 -1.684391945685649317e-01
-4.085000000000000089e-03 -2.227275491845381594e-01 -1.735276362655335802e-01
-4.083999999999999957e-03 -2.230628659432268290e-01 -1.687784240150295156e-01
-4.082999999999999824e-03 -2.207156486324060585e-01 -1.694568829079586558e-01
-4.081999999999999691e-03 -2.200450151150286915e-01 -1.714922595867461319e-01
-4.080999999999999558e-03 -2.210509653910947558e-01 -1.667430473362420396e-01
-4.079999999999999426e-03 -2.230628659432268290e-01 -1.691176534614940719e-01
-4.079000000000000160e-03 -2.170271642868305817e-01 -1.457108216554382774e-01
-4.078000000000000028e-03 -2.240688162192928656e-01 -1.701353418008878238e-01
-4.076999999999999895e-03 -2.230628659432268290e-01 -1.711530301402815479e-01
-4.075999999999999762e-03 -2.307751513930664800e-01 -1.745453246049273044e-01
-4.074999999999999629e-03 -2.207156486324060585e-01 -1.684391945685649317e-01
-4.073999999999999497e-03 -2.213862821497834255e-01 -1.708138006938169640e-01
-4.073000000000000231e-03 -2.240688162192928656e-01 -1.694568829079586558e-01
-4.072000000000000099e-03 -2.207156486324060585e-01 -1.691176534614940719e-01
-4.070999999999999966e-03 -2.220569156671607924e-01 -1.691176534614940719e-01
-4.069999999999999833e-03 -2.240688162192928656e-01 -1.657253589968483154e-01
-4.068999999999999700e-03 -2.227275491845381594e-01 -1.731884068190689963e-01
-4.067999999999999568e-03 -2.230628659432268290e-01 -1.680999651221003477e-01
-4.066999999999999435e-03 -2.150152637346984807e-01 -1.623330645322025589e-01
-4.066000000000000170e-03 -2.233981827019154986e-01 -1.738668657119981642e-01
-4.065000000000000037e-03 -2.223922324258494621e-01 -1.697961123544232398e-01
-4.063999999999999904e-03 -2.227275491845381594e-01 -1.680999651221003477e-01
-4.062999999999999771e-03 -2.223922324258494621e-01 -1.711530301402815479e-01
-4.061999999999999639e-03 -2.223922324258494621e-01 -1.711530301402815479e-01
-4.060999999999999506e-03 -2.270866670474910032e-01 -1.697961123544232398e-01
-4.060000000000000241e-03 -2.213862821497834255e-01 -1.697961123544232398e-01
-4.059000000000000108e-03 -2.183684313215852879e-01 -1.514777222453360939e-01
-4.057999999999999975e-03 -2.210509653910947558e-01 -1.670822767827066235e-01
-4.056999999999999842e-03 -2.200450151150286915e-01 -1.704745712473523800e-01
-4.055999999999999710e-03 -2.187037480802739853e-01 -1.674215062291712075e-01
-4.054999999999999577e-03 -2.240688162192928656e-01 -1.701353418008878238e-01
-4.053999999999999444e-03 -2.244041329779815630e-01 -1.711530301402815479e-01
-4.053000000000000179e-03 -2.176977978042079487e-01 -1.670822767827066235e-01
-4.052000000000000046e-03 -2.230628659432268290e-01 -1.660645884433128994e-01
-4.050999999999999913e-03 -2.230628659432268290e-01 -1.691176534614940719e-01
-4.049999999999999781e-03 -2.210509653910947558e-01 -1.742060951584627204e-01
-4.048999999999999648e-03 -2.237334994606041960e-01 -1.664038178897774556e-01
-4.047999999999999515e-03 -2.210509653910947558e-01 -1.704745712473523800e-01
-4.047000000000000250e-03 -2.244041329779815630e-01 -1.745453246049273044e-01
