DC[V]   Rapporto_Ch2/Ch1
-2.000000000000000000e+00 7.659201412988576596e-01
-1.555555555555555580e+00 7.662199971457559489e-01
-1.111111111111111160e+00 7.664124605362794274e-01
-6.666666666666667407e-01 7.657722093359973226e-01
-2.222222222222223209e-01 7.643206802863766747e-01
2.222222222222223209e-01 7.662691621401196418e-01
6.666666666666665186e-01 7.664037401361718516e-01
1.111111111111110716e+00 7.674553037407476630e-01
1.555555555555555358e+00 7.672420760509532922e-01
2.000000000000000000e+00 7.668738778023944658e-01
