# Acquisizione Analog Discovery 2
# Timestamp 2025-10-05 17:40:24
# time	ch1	ch2
-4.095999999999999815e-03	2.521490417034872866e-01	2.106329469522659481e-02
-4.094999999999999682e-03	2.889757053588173363e-01	9.877190302635591168e-03
-4.093999999999999549e-03	2.889757053588173363e-01	2.852069762362059724e-02
-4.092999999999999416e-03	3.331677017452134848e-01	2.852069762362059724e-02
-4.092000000000000151e-03	3.442157008418124664e-01	6.148488838438589954e-03
-4.091000000000000018e-03	3.920903635937416087e-01	3.224939908781759845e-02
-4.089999999999999886e-03	3.663116990350105406e-01	4.343550348040860209e-02
-4.088999999999999753e-03	3.884076972282086149e-01	6.148488838438589954e-03
-4.087999999999999620e-03	4.325996936146047078e-01	2.852069762362059724e-02
-4.086999999999999487e-03	4.436476927112037449e-01	2.479199615942359602e-02
-4.086000000000000222e-03	4.731090236354678069e-01	3.597810055201459967e-02
-4.085000000000000089e-03	4.657436909044017637e-01	2.106329469522659481e-02
-4.083999999999999957e-03	5.099356872907978566e-01	2.479199615942359602e-02
-4.082999999999999824e-03	5.357143518495288692e-01	3.224939908781759845e-02
-4.081999999999999691e-03	5.504450173116610667e-01	2.479199615942359602e-02
-4.080999999999999558e-03	5.799063482359250177e-01	2.852069762362059724e-02
-4.079999999999999426e-03	5.909543473325240548e-01	2.852069762362059724e-02
-4.079000000000000160e-03	6.204156782567882278e-01	2.479199615942359602e-02
-4.078000000000000028e-03	6.204156782567882278e-01	3.597810055201459967e-02
-4.076999999999999895e-03	6.498770091810521787e-01	2.479199615942359602e-02
-4.075999999999999762e-03	6.682903410087173146e-01	2.479199615942359602e-02
-4.074999999999999629e-03	7.051170046640473643e-01	2.479199615942359602e-02
-4.073999999999999497e-03	7.014343382985144260e-01	3.970680201621160088e-02
-4.073000000000000231e-03	7.382610019538444757e-01	3.224939908781759845e-02
-4.072000000000000099e-03	7.456263346849105744e-01	1.733459323102959360e-02
-4.070999999999999966e-03	7.750876656091745254e-01	2.106329469522659481e-02
-4.069999999999999833e-03	7.898183310713065008e-01	4.716420494460560331e-02
-4.068999999999999700e-03	7.824529983402406241e-01	2.479199615942359602e-02
-4.067999999999999568e-03	8.376929938232358097e-01	1.733459323102959360e-02
-4.066999999999999435e-03	8.708369911130326990e-01	3.224939908781759845e-02
-4.066000000000000170e-03	8.745196574785658594e-01	3.224939908781759845e-02
-4.065000000000000037e-03	9.113463211338959091e-01	2.106329469522659481e-02
-4.063999999999999904e-03	9.039809884028298104e-01	1.360589176683259238e-02
