# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-1.000000000000000021e-02	-5.021429193739781915e+00	-5.904437454330815349e-01
-9.997999999999999943e-03	4.910721994102743793e+00	-3.555355531886705278e-01
-9.995999999999999677e-03	4.943865991392541126e+00	2.419787374241588740e-03
-9.993999999999999412e-03	4.965961989585738756e+00	4.200343513643057247e-01
-9.991999999999999146e-03	5.002788653241069028e+00	7.295165728926569226e-01
-9.989999999999998881e-03	5.024884651434267546e+00	1.087471913455568817e+00
-9.988000000000000350e-03	-4.988285196449984582e+00	1.162045942739508897e+00
-9.986000000000000085e-03	-4.988285196449984582e+00	1.027812690028416798e+00
-9.983999999999999819e-03	-4.984602530084451644e+00	9.495099592802798139e-01
-9.981999999999999554e-03	-4.988285196449984582e+00	8.600211241395518957e-01
-9.979999999999999288e-03	-4.995650529181050459e+00	7.518887816778387911e-01
-9.977999999999999023e-03	-5.006698528277649274e+00	6.885008567864898676e-01
-9.975999999999998757e-03	-5.014063861008715151e+00	5.952833201815648234e-01
-9.974000000000000227e-03	-5.014063861008715151e+00	5.095231865050338094e-01
-9.971999999999999961e-03	-5.017746527374248089e+00	4.610500674704727242e-01
-9.969999999999999696e-03	-5.014063861008715151e+00	3.939334411149267301e-01
-9.967999999999999430e-03	-5.032477192836380731e+00	3.119020089025926756e-01
-9.965999999999999165e-03	-5.039842525567446607e+00	2.559714869396376713e-01
-9.963999999999998899e-03	-4.995650529181050459e+00	2.000409649766826670e-01
-9.962000000000000369e-03	-5.028794526470847792e+00	1.478391444779246222e-01
-9.960000000000000103e-03	-5.017746527374248089e+00	1.030947269075606215e-01
-9.957999999999999838e-03	-5.050890524664045422e+00	5.089290640880260452e-02
-9.955999999999999572e-03	-5.036159859201913669e+00	1.360589176683259238e-02
-9.953999999999999307e-03	-5.032477192836380731e+00	-2.368112287513741976e-02
-9.951999999999999041e-03	-5.036159859201913669e+00	-6.842554044550143433e-02
-9.949999999999998776e-03	-5.028794526470847792e+00	-1.280847638726534399e-01
-9.948000000000000245e-03	-5.043525191932979546e+00	-1.541856741220324623e-01
-9.945999999999999980e-03	-5.047207858298512484e+00	-1.653717785146234798e-01
-9.943999999999999714e-03	-5.043525191932979546e+00	-2.063874946207904792e-01
-9.941999999999999449e-03	-5.050890524664045422e+00	-2.585893151195484685e-01
-9.939999999999999183e-03	-5.043525191932979546e+00	-2.697754195121395138e-01
-9.937999999999998918e-03	-5.043525191932979546e+00	-2.697754195121395138e-01
-9.936000000000000387e-03	-5.043525191932979546e+00	-3.443494487960795380e-01
-9.934000000000000122e-03	-5.043525191932979546e+00	-3.629929561170645580e-01
-9.931999999999999856e-03	-5.017746527374248089e+00	-3.853651649022465375e-01
-9.929999999999999591e-03	-5.043525191932979546e+00	-3.816364634380495224e-01
-9.927999999999999325e-03	-5.025111860105314854e+00	-4.189234780800195623e-01
-9.925999999999999060e-03	-5.039842525567446607e+00	-4.114660751516255321e-01
-9.923999999999998795e-03	-5.014063861008715151e+00	-4.524817912577925871e-01
-9.922000000000000264e-03	-5.039842525567446607e+00	-4.711252985787775516e-01
-9.919999999999999998e-03	-5.017746527374248089e+00	-5.009549102923536168e-01
-9.917999999999999733e-03	-5.010381194643182212e+00	-5.009549102923536168e-01
-9.915999999999999467e-03	-5.028794526470847792e+00	-5.046836117565505209e-01
-9.913999999999999202e-03	-5.014063861008715151e+00	-5.307845220059295155e-01
-9.911999999999998937e-03	-5.017746527374248089e+00	-5.606141337195056362e-01
-9.910000000000000406e-03	-5.006698528277649274e+00	-5.568854322553085101e-01
-9.908000000000000140e-03	-5.039842525567446607e+00	-5.680715366478996664e-01
-9.905999999999999875e-03	-5.043525191932979546e+00	-5.680715366478996664e-01
-9.903999999999999609e-03	-5.010381194643182212e+00	-5.941724468972786610e-01
-9.901999999999999344e-03	-5.036159859201913669e+00	-6.016298498256726912e-01
-9.899999999999999079e-03	-5.043525191932979546e+00	-6.016298498256726912e-01
-9.897999999999998813e-03	4.903356661371677916e+00	-3.667216575812615176e-01
-9.896000000000000282e-03	4.951231324123607003e+00	2.479199615942359602e-02
-9.894000000000000017e-03	4.962279323220205818e+00	4.088482469717147350e-01
-9.891999999999999751e-03	4.991740654144470213e+00	7.817183933914149119e-01
-9.889999999999999486e-03	5.017519318703200781e+00	1.087471913455568817e+00
-9.887999999999999221e-03	-5.006698528277649274e+00	1.139673733954326806e+00
-9.885999999999998955e-03	-4.973554530987852829e+00	1.042727495885204858e+00
-9.883999999999998690e-03	-4.966189198256786064e+00	9.420525563518857837e-01
-9.882000000000000159e-03	-4.969871864622319002e+00	8.451063182827638354e-01
-9.879999999999999893e-03	-5.006698528277649274e+00	7.705322889988237556e-01
-9.877999999999999628e-03	-4.999333195546583397e+00	6.698573494655049032e-01
-9.875999999999999363e-03	-4.980919863718918705e+00	6.139268275025497879e-01
-9.873999999999999097e-03	-5.025111860105314854e+00	5.318953952902156779e-01
-9.871999999999998832e-03	-5.039842525567446607e+00	4.610500674704727242e-01
-9.870000000000000301e-03	-5.025111860105314854e+00	3.715612323297446951e-01
-9.868000000000000035e-03	-5.006698528277649274e+00	3.342742176877747107e-01
-9.865999999999999770e-03	-5.032477192836380731e+00	2.746149942606226912e-01
-9.863999999999999505e-03	-5.032477192836380731e+00	2.298705766902586767e-01
-9.861999999999999239e-03	-5.021429193739781915e+00	1.627539503347126271e-01
-9.859999999999998974e-03	-5.006698528277649274e+00	8.445121958657561545e-02
-9.857999999999998708e-03	-5.039842525567446607e+00	4.716420494460560331e-02
-9.856000000000000177e-03	-5.039842525567446607e+00	1.733459323102959360e-02
-9.853999999999999912e-03	-5.021429193739781915e+00	-3.113852580353142219e-02
-9.851999999999999647e-03	-5.032477192836380731e+00	-7.588294337389543676e-02
-9.849999999999999381e-03	-5.003015861912116335e+00	-1.131699580158654489e-01
-9.847999999999999116e-03	-5.050890524664045422e+00	-1.541856741220324623e-01
-9.845999999999998850e-03	-5.047207858298512484e+00	-1.579143755862294496e-01
-9.844000000000000319e-03	-5.021429193739781915e+00	-2.026587931565934642e-01
-9.842000000000000054e-03	-5.036159859201913669e+00	-2.585893151195484685e-01
-9.839999999999999789e-03	-5.050890524664045422e+00	-2.772328224405334884e-01
-9.837999999999999523e-03	-5.028794526470847792e+00	-3.070624341541094982e-01
-9.835999999999999258e-03	-5.021429193739781915e+00	-3.331633444034885483e-01
-9.833999999999998992e-03	-5.025111860105314854e+00	-3.518068517244735127e-01
-9.831999999999998727e-03	-5.039842525567446607e+00	-3.890938663664435526e-01
-9.830000000000000196e-03	-5.006698528277649274e+00	-4.040086722232315575e-01
-9.827999999999999931e-03	-5.032477192836380731e+00	-4.189234780800195623e-01
-9.825999999999999665e-03	-5.017746527374248089e+00	-4.412956868652015419e-01
-9.823999999999999400e-03	-5.032477192836380731e+00	-4.562104927219895467e-01
-9.821999999999999134e-03	-5.017746527374248089e+00	-4.673965971145805365e-01
-9.819999999999998869e-03	-5.032477192836380731e+00	-5.084123132207476470e-01
-9.818000000000000338e-03	-5.017746527374248089e+00	-4.972262088281565462e-01
-9.816000000000000072e-03	-5.021429193739781915e+00	-5.195984176133385812e-01
-9.813999999999999807e-03	-5.017746527374248089e+00	-5.531567307911116060e-01
-9.811999999999999542e-03	-5.006698528277649274e+00	-5.382419249343235457e-01
-9.809999999999999276e-03	-5.032477192836380731e+00	-5.606141337195056362e-01
-9.807999999999999011e-03	-5.014063861008715151e+00	-5.680715366478996664e-01
-9.805999999999998745e-03	-5.032477192836380731e+00	-5.792576410404906007e-01
-9.804000000000000214e-03	-5.021429193739781915e+00	-6.090872527540667214e-01
-9.801999999999999949e-03	-5.028794526470847792e+00	-5.941724468972786610e-01
-9.799999999999999684e-03	-5.032477192836380731e+00	-5.867150439688846308e-01
-9.797999999999999418e-03	4.921769993199342608e+00	-3.667216575812615176e-01
-9.795999999999999153e-03	4.951231324123607003e+00	2.479199615942359602e-02
-9.793999999999998887e-03	4.980692655047871398e+00	3.827473367223356848e-01
-9.792000000000000356e-03	4.999105986875536090e+00	7.444313787494447610e-01
-9.790000000000000091e-03	5.050663315992998115e+00	1.091200614919765943e+00
-9.787999999999999826e-03	-5.010381194643182212e+00	1.147131136882720837e+00
-9.785999999999999560e-03	-4.955141199160187249e+00	1.035270092956810828e+00
-9.783999999999999295e-03	-4.995650529181050459e+00	9.457812578160829098e-01
-9.781999999999999029e-03	-4.991967862815517520e+00	8.562924226753547696e-01
-9.779999999999998764e-03	-4.999333195546583397e+00	7.444313787494447610e-01
-9.778000000000000233e-03	-4.995650529181050459e+00	6.773147523938987113e-01
-9.775999999999999968e-03	-5.014063861008715151e+00	5.990120216457617275e-01
-9.773999999999999702e-03	-5.021429193739781915e+00	5.207092908976247436e-01
-9.771999999999999437e-03	-5.047207858298512484e+00	4.647787689346697393e-01
-9.769999999999999171e-03	-5.021429193739781915e+00	4.051195455075177199e-01
-9.767999999999998906e-03	-5.054573191029578361e+00	3.417316206161686853e-01
-9.766000000000000375e-03	-5.043525191932979546e+00	2.485140840112436689e-01
-9.764000000000000110e-03	-5.036159859201913669e+00	2.074983679050766416e-01
-9.761999999999999844e-03	-5.006698528277649274e+00	1.552965474063186524e-01
-9.759999999999999579e-03	-5.014063861008715151e+00	9.190862251496961788e-02
-9.757999999999999313e-03	-5.050890524664045422e+00	5.835030933719660695e-02
-9.755999999999999048e-03	-5.039842525567446607e+00	9.877190302635591168e-03
-9.753999999999998782e-03	-5.025111860105314854e+00	-3.859592873192542462e-02
-9.752000000000000252e-03	-5.058255857395111299e+00	-7.215424190969843554e-02
-9.749999999999999986e-03	-5.039842525567446607e+00	-1.243560624084564525e-01
-9.747999999999999721e-03	-5.039842525567446607e+00	-1.355421668010474701e-01
-9.745999999999999455e-03	-5.039842525567446607e+00	-1.728291814430174544e-01
-9.743999999999999190e-03	-5.047207858298512484e+00	-2.250310019417754992e-01
-9.741999999999998924e-03	-5.032477192836380731e+00	-2.362171063343664890e-01
-9.740000000000000394e-03	-5.050890524664045422e+00	-2.772328224405334884e-01
-9.738000000000000128e-03	-5.036159859201913669e+00	-3.257059414750945181e-01
-9.735999999999999863e-03	-5.039842525567446607e+00	-3.033337326899125386e-01
-9.733999999999999597e-03	-5.021429193739781915e+00	-3.480781502602764976e-01
-9.731999999999999332e-03	-5.028794526470847792e+00	-3.704503590454585327e-01
-9.729999999999999066e-03	-5.032477192836380731e+00	-3.779077619738525073e-01
-9.727999999999998801e-03	-5.021429193739781915e+00	-4.189234780800195623e-01
-9.726000000000000270e-03	-5.032477192836380731e+00	-4.375669854010045268e-01
-9.724000000000000005e-03	-5.028794526470847792e+00	-4.487530897935955720e-01
-9.721999999999999739e-03	-5.025111860105314854e+00	-4.673965971145805365e-01
-9.719999999999999474e-03	-5.014063861008715151e+00	-4.785827015071715818e-01
-9.717999999999999208e-03	-5.028794526470847792e+00	-5.195984176133385812e-01
-9.715999999999998943e-03	-5.028794526470847792e+00	-5.121410146849445510e-01
-9.714000000000000412e-03	-5.014063861008715151e+00	-5.195984176133385812e-01
-9.712000000000000147e-03	-5.043525191932979546e+00	-5.643428351837025403e-01
-9.709999999999999881e-03	-5.028794526470847792e+00	-5.419706263985206718e-01
-9.707999999999999616e-03	-5.025111860105314854e+00	-5.568854322553085101e-01
-9.705999999999999350e-03	-5.028794526470847792e+00	-5.829863425046875047e-01
-9.703999999999999085e-03	-5.021429193739781915e+00	-5.867150439688846308e-01
-9.701999999999998819e-03	-5.014063861008715151e+00	-5.867150439688846308e-01
-9.700000000000000289e-03	-5.017746527374248089e+00	-5.979011483614755651e-01
-9.698000000000000023e-03	4.918087326833809669e+00	-3.779077619738525073e-01
-9.695999999999999758e-03	4.936500658661475249e+00	2.852069762362059724e-02
-9.693999999999999492e-03	4.988057987778937274e+00	3.864760381865326999e-01
-9.691999999999999227e-03	5.002788653241069028e+00	7.630748860704297254e-01
-9.689999999999998961e-03	5.065393981455129868e+00	1.076285809062977883e+00
-9.687999999999998696e-03	-5.014063861008715151e+00	1.154588539811114867e+00
-9.686000000000000165e-03	-4.991967862815517520e+00	1.061371003206189823e+00
-9.683999999999999900e-03	-4.991967862815517520e+00	9.420525563518857837e-01
-9.681999999999999634e-03	-4.977237197353385767e+00	8.562924226753547696e-01
