# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-1.000000000000000021e-02	-4.988285196449984582e+00	-5.037615554152413688e-03
-9.997999999999999943e-03	4.918087326833809669e+00	1.441104430137276349e-01
-9.995999999999999677e-03	4.988057987778937274e+00	5.393527982186097081e-01
-9.993999999999999412e-03	4.995423320510003151e+00	9.308664519592948494e-01
-9.991999999999999146e-03	5.035932650530866361e+00	1.307465299843191930e+00
-9.989999999999998881e-03	5.046980649627465176e+00	1.661691938941907143e+00
-9.988000000000000350e-03	5.091172646013861325e+00	1.974902861934455078e+00
-9.986000000000000085e-03	5.109585977841526017e+00	2.288113784927003458e+00
-9.983999999999999819e-03	5.094855312379394263e+00	2.575223797670172399e+00
-9.981999999999999554e-03	5.120633976938125720e+00	2.858605108949144658e+00
-9.979999999999999288e-03	5.109585977841526017e+00	3.134529017299722664e+00
-9.977999999999999023e-03	5.127999309669191597e+00	3.361979806615739808e+00
-9.975999999999998757e-03	5.109585977841526017e+00	3.600616700324347885e+00
-9.974000000000000227e-03	5.113268644207058955e+00	3.854168399889743579e+00
-9.971999999999999961e-03	5.124316643303658658e+00	4.029417368707003178e+00
-9.969999999999999696e-03	5.127999309669191597e+00	4.230767247773641770e+00
-9.967999999999999430e-03	5.116951310572592782e+00	4.454489335625461344e+00
-9.965999999999999165e-03	5.127999309669191597e+00	4.596179991264947695e+00
-9.963999999999998899e-03	5.076441980551729571e+00	4.745328049832827411e+00
-9.962000000000000369e-03	5.102220645110460140e+00	4.909390914257495631e+00
-9.960000000000000103e-03	5.091172646013861325e+00	5.080911181610557215e+00
-9.957999999999999838e-03	5.083807313282795448e+00	5.222601837250043566e+00
-9.955999999999999572e-03	5.080124646917262510e+00	5.341920284104348049e+00
-9.953999999999999307e-03	5.094855312379394263e+00	5.450052626566060709e+00
-9.951999999999999041e-03	5.087489979648328386e+00	5.576828476348758556e+00
-9.949999999999998776e-03	5.072759314186196633e+00	5.662588610025290237e+00
-9.948000000000000245e-03	5.072759314186196633e+00	5.793093161272184766e+00
-9.945999999999999980e-03	5.076441980551729571e+00	5.882581996412913128e+00
-9.943999999999999714e-03	5.098537978744927202e+00	5.968342130089443920e+00
-9.941999999999999449e-03	5.069076647820663695e+00	6.054102263765974712e+00
-9.939999999999999183e-03	5.043297983261932238e+00	6.158505904763490690e+00
-9.937999999999998918e-03	5.050663315992998115e+00	6.244266038440022371e+00
-9.936000000000000387e-03	5.046980649627465176e+00	6.277824351617795173e+00
-9.934000000000000122e-03	5.039615316896399300e+00	6.363584485294325965e+00
-9.931999999999999856e-03	5.058028648724063991e+00	6.423243708721478207e+00
-9.929999999999999591e-03	5.043297983261932238e+00	6.490360335077023812e+00
-9.927999999999999325e-03	5.017519318703200781e+00	6.550019558504176054e+00
-9.925999999999999060e-03	5.043297983261932238e+00	6.598492677538737361e+00
-9.923999999999998795e-03	5.032249984165333423e+00	6.661880602430086284e+00
-9.922000000000000264e-03	5.054345982358531053e+00	6.706625020000450021e+00
-9.919999999999999998e-03	5.021201985068733720e+00	6.725268527321435208e+00
-9.917999999999999733e-03	5.024884651434267546e+00	6.792385153676980813e+00
-9.915999999999999467e-03	5.024884651434267546e+00	6.822214765390556934e+00
-9.913999999999999202e-03	5.032249984165333423e+00	6.863230481496723989e+00
-9.911999999999998937e-03	5.013836652337667843e+00	6.896788794674496792e+00
-9.910000000000000406e-03	5.043297983261932238e+00	6.963905421030043286e+00
-9.908000000000000140e-03	5.010153985972134905e+00	6.941533212244861417e+00
-9.905999999999999875e-03	5.021201985068733720e+00	6.997463734207816088e+00
-9.903999999999999609e-03	5.028567317799800485e+00	7.019835942992997957e+00
-9.901999999999999344e-03	5.006471319606601966e+00	7.060851659099165012e+00
-9.899999999999999079e-03	5.017519318703200781e+00	7.075766464955953516e+00
-9.897999999999998813e-03	5.002788653241069028e+00	7.131696986918908188e+00
-9.896000000000000282e-03	5.032249984165333423e+00	7.150340494239893374e+00
-9.894000000000000017e-03	5.017519318703200781e+00	7.142883091311499122e+00
-9.891999999999999751e-03	5.024884651434267546e+00	7.168984001560878561e+00
-9.889999999999999486e-03	5.024884651434267546e+00	7.191356210346060429e+00
-9.887999999999999221e-03	5.024884651434267546e+00	7.202542314738651363e+00
-9.885999999999998955e-03	5.017519318703200781e+00	7.221185822059636550e+00
-9.883999999999998690e-03	5.013836652337667843e+00	7.251015433773212671e+00
-9.882000000000000159e-03	4.991740654144470213e+00	7.247286732309015100e+00
-9.879999999999999893e-03	5.013836652337667843e+00	7.265930239630000287e+00
-9.877999999999999628e-03	4.999105986875536090e+00	7.277116344022591221e+00
-9.875999999999999363e-03	5.021201985068733720e+00	7.284573746950985473e+00
-9.873999999999999097e-03	5.021201985068733720e+00	7.288302448415182155e+00
-9.871999999999998832e-03	5.006471319606601966e+00	7.288302448415182155e+00
-9.870000000000000301e-03	4.999105986875536090e+00	7.318132060128758276e+00
-9.868000000000000035e-03	5.013836652337667843e+00	7.329318164521349210e+00
-9.865999999999999770e-03	5.010153985972134905e+00	7.347961671842334397e+00
-9.863999999999999505e-03	5.013836652337667843e+00	7.355419074770728649e+00
-9.861999999999999239e-03	4.999105986875536090e+00	7.366605179163319583e+00
-9.859999999999998974e-03	5.002788653241069028e+00	7.385248686484304770e+00
-9.857999999999998708e-03	4.999105986875536090e+00	7.374062582091712947e+00
-9.856000000000000177e-03	4.984375321413404336e+00	7.388977387948501452e+00
-9.853999999999999912e-03	4.995423320510003151e+00	7.392706089412698134e+00
-9.851999999999999647e-03	5.006471319606601966e+00	7.392706089412698134e+00
-9.849999999999999381e-03	5.017519318703200781e+00	7.392706089412698134e+00
-9.847999999999999116e-03	4.977009988682338459e+00	7.400163492341092386e+00
-9.845999999999998850e-03	4.988057987778937274e+00	7.400163492341092386e+00
-9.844000000000000319e-03	5.002788653241069028e+00	7.429993104054668507e+00
-9.842000000000000054e-03	5.006471319606601966e+00	7.403892193805289068e+00
-9.839999999999999789e-03	4.999105986875536090e+00	7.415078298197880002e+00
-9.837999999999999523e-03	5.017519318703200781e+00	7.403892193805289068e+00
-9.835999999999999258e-03	5.002788653241069028e+00	7.444907909911456123e+00
-9.833999999999998992e-03	5.017519318703200781e+00	7.422535701126274255e+00
-9.831999999999998727e-03	5.010153985972134905e+00	7.407620895269486638e+00
-9.830000000000000196e-03	4.999105986875536090e+00	7.418806999662077573e+00
-9.827999999999999931e-03	5.002788653241069028e+00	7.433721805518865189e+00
-9.825999999999999665e-03	5.006471319606601966e+00	7.463551417232441310e+00
-9.823999999999999400e-03	5.021201985068733720e+00	7.441179208447259441e+00
-9.821999999999999134e-03	4.995423320510003151e+00	7.448636611375653693e+00
-9.819999999999998869e-03	5.013836652337667843e+00	7.448636611375653693e+00
-9.818000000000000338e-03	5.021201985068733720e+00	7.448636611375653693e+00
-9.816000000000000072e-03	5.006471319606601966e+00	7.467280118696637992e+00
-9.813999999999999807e-03	5.006471319606601966e+00	7.452365312839850375e+00
-9.811999999999999542e-03	4.995423320510003151e+00	7.433721805518865189e+00
-9.809999999999999276e-03	5.006471319606601966e+00	7.456094014304047057e+00
-9.807999999999999011e-03	5.013836652337667843e+00	7.452365312839850375e+00
-9.805999999999998745e-03	4.991740654144470213e+00	7.471008820160835562e+00
-9.804000000000000214e-03	4.984375321413404336e+00	7.441179208447259441e+00
-9.801999999999999949e-03	4.988057987778937274e+00	7.463551417232441310e+00
-9.799999999999999684e-03	5.010153985972134905e+00	7.456094014304047057e+00
-9.797999999999999418e-03	5.017519318703200781e+00	7.478466223089229814e+00
-9.795999999999999153e-03	5.010153985972134905e+00	7.463551417232441310e+00
-9.793999999999998887e-03	5.010153985972134905e+00	7.474737521625032244e+00
-9.792000000000000356e-03	5.002788653241069028e+00	7.474737521625032244e+00
-9.790000000000000091e-03	5.021201985068733720e+00	7.448636611375653693e+00
-9.787999999999999826e-03	4.995423320510003151e+00	7.474737521625032244e+00
-9.785999999999999560e-03	4.999105986875536090e+00	7.478466223089229814e+00
-9.783999999999999295e-03	5.002788653241069028e+00	7.474737521625032244e+00
-9.781999999999999029e-03	5.013836652337667843e+00	7.467280118696637992e+00
-9.779999999999998764e-03	5.002788653241069028e+00	7.452365312839850375e+00
-9.778000000000000233e-03	4.988057987778937274e+00	7.433721805518865189e+00
-9.775999999999999968e-03	5.028567317799800485e+00	7.459822715768244628e+00
-9.773999999999999702e-03	4.995423320510003151e+00	7.459822715768244628e+00
-9.771999999999999437e-03	4.984375321413404336e+00	7.456094014304047057e+00
-9.769999999999999171e-03	4.980692655047871398e+00	7.467280118696637992e+00
-9.767999999999998906e-03	5.017519318703200781e+00	7.448636611375653693e+00
-9.766000000000000375e-03	4.984375321413404336e+00	7.467280118696637992e+00
-9.764000000000000110e-03	5.017519318703200781e+00	7.467280118696637992e+00
-9.761999999999999844e-03	5.002788653241069028e+00	7.485923626017623178e+00
-9.759999999999999579e-03	5.010153985972134905e+00	7.459822715768244628e+00
-9.757999999999999313e-03	5.013836652337667843e+00	7.441179208447259441e+00
-9.755999999999999048e-03	4.977009988682338459e+00	7.471008820160835562e+00
-9.753999999999998782e-03	4.984375321413404336e+00	7.467280118696637992e+00
-9.752000000000000252e-03	4.999105986875536090e+00	7.467280118696637992e+00
-9.749999999999999986e-03	5.006471319606601966e+00	7.459822715768244628e+00
-9.747999999999999721e-03	5.013836652337667843e+00	7.482194924553426496e+00
-9.745999999999999455e-03	5.017519318703200781e+00	7.471008820160835562e+00
-9.743999999999999190e-03	4.995423320510003151e+00	7.459822715768244628e+00
-9.741999999999998924e-03	4.995423320510003151e+00	7.452365312839850375e+00
-9.740000000000000394e-03	5.006471319606601966e+00	7.456094014304047057e+00
-9.738000000000000128e-03	5.006471319606601966e+00	7.444907909911456123e+00
-9.735999999999999863e-03	4.991740654144470213e+00	7.456094014304047057e+00
-9.733999999999999597e-03	5.006471319606601966e+00	7.452365312839850375e+00
-9.731999999999999332e-03	5.013836652337667843e+00	7.429993104054668507e+00
-9.729999999999999066e-03	5.010153985972134905e+00	7.456094014304047057e+00
-9.727999999999998801e-03	4.988057987778937274e+00	7.463551417232441310e+00
-9.726000000000000270e-03	4.999105986875536090e+00	7.433721805518865189e+00
-9.724000000000000005e-03	5.002788653241069028e+00	7.444907909911456123e+00
-9.721999999999999739e-03	4.999105986875536090e+00	7.444907909911456123e+00
-9.719999999999999474e-03	5.017519318703200781e+00	7.471008820160835562e+00
-9.717999999999999208e-03	5.002788653241069028e+00	7.437450506983062759e+00
-9.715999999999998943e-03	4.995423320510003151e+00	7.467280118696637992e+00
-9.714000000000000412e-03	4.995423320510003151e+00	7.426264402590471825e+00
-9.712000000000000147e-03	4.984375321413404336e+00	7.433721805518865189e+00
-9.709999999999999881e-03	4.984375321413404336e+00	7.452365312839850375e+00
-9.707999999999999616e-03	5.021201985068733720e+00	7.448636611375653693e+00
-9.705999999999999350e-03	5.002788653241069028e+00	7.452365312839850375e+00
