# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 11:39:05
# time	ch1	ch2
-5.119999999999999768e-04	-8.297359756001655706e-02	9.877190302635591168e-03
-5.109999999999999525e-04	-7.929093119448354932e-02	1.733459323102959360e-02
-5.099999999999999282e-04	-3.509893480808744248e-02	-1.308914089955412474e-03
-5.090000000000000123e-04	-1.668560298042239681e-02	-1.249501848254641612e-02
-5.079999999999999880e-04	1.645839430937468678e-02	-1.622371994674341733e-02
-5.069999999999999637e-04	2.382372704044070227e-02	2.419787374241588740e-03
-5.059999999999999394e-04	3.855439250257274020e-02	1.360589176683259238e-02
-5.050000000000000235e-04	8.274638888896884703e-02	-1.308914089955412474e-03
-5.039999999999999992e-04	6.433305706130380830e-02	2.419787374241588740e-03
-5.029999999999999749e-04	8.642905525450185478e-02	1.360589176683259238e-02
-5.019999999999999506e-04	1.232557189098319461e-01	9.877190302635591168e-03
-5.009999999999999263e-04	1.416690507374969987e-01	2.852069762362059724e-02
-5.000000000000000104e-04	1.821783807583600978e-01	-8.766317018349414902e-03
-4.989999999999999861e-04	1.748130480272940823e-01	1.733459323102959360e-02
-4.979999999999999618e-04	2.079570453170911659e-01	2.419787374241588740e-03
-4.969999999999999375e-04	2.447837089724212434e-01	-1.308914089955412474e-03
-4.960000000000000216e-04	2.263703771447561908e-01	1.733459323102959360e-02
-4.949999999999999973e-04	2.521490417034872866e-01	1.360589176683259238e-02
-4.939999999999999730e-04	2.963410380898833796e-01	1.360589176683259238e-02
-4.929999999999999487e-04	3.184370362830814538e-01	-5.037615554152413688e-03
-4.919999999999999244e-04	3.110717035520154106e-01	-1.249501848254641612e-02
-4.910000000000000085e-04	3.552636999384115035e-01	6.148488838438589954e-03
-4.899999999999999842e-04	3.663116990350105406e-01	9.877190302635591168e-03
-4.889999999999999599e-04	3.920903635937416087e-01	6.148488838438589954e-03
-4.879999999999999898e-04	4.068210290558736397e-01	-1.308914089955412474e-03
-4.869999999999999655e-04	4.436476927112037449e-01	-1.308914089955412474e-03
-4.859999999999999954e-04	4.362823599801377017e-01	-1.308914089955412474e-03
-4.849999999999999711e-04	4.767916900010008008e-01	9.877190302635591168e-03
-4.840000000000000010e-04	4.804743563665338502e-01	9.877190302635591168e-03
-4.829999999999999767e-04	4.988876881941988750e-01	2.106329469522659481e-02
-4.819999999999999524e-04	5.504450173116610667e-01	-8.766317018349414902e-03
-4.809999999999999823e-04	5.725410155048591410e-01	1.360589176683259238e-02
-4.799999999999999580e-04	5.578103500427269434e-01	1.733459323102959360e-02
-4.789999999999999879e-04	6.093676791601891907e-01	2.106329469522659481e-02
-4.779999999999999635e-04	5.983196800635901536e-01	-1.249501848254641612e-02
-4.769999999999999934e-04	6.167330118912550674e-01	-5.037615554152413688e-03
-4.759999999999999691e-04	6.314636773533872649e-01	-8.766317018349414902e-03
-4.749999999999999990e-04	6.940690055674483272e-01	-5.037615554152413688e-03
-4.739999999999999747e-04	6.682903410087173146e-01	9.877190302635591168e-03
-4.730000000000000046e-04	7.161650037606464014e-01	6.148488838438589954e-03
-4.719999999999999803e-04	7.345783355883115373e-01	2.106329469522659481e-02
-4.709999999999999560e-04	7.382610019538444757e-01	1.733459323102959360e-02
-4.699999999999999859e-04	7.750876656091745254e-01	2.106329469522659481e-02
-4.689999999999999616e-04	7.898183310713065008e-01	1.360589176683259238e-02
-4.679999999999999915e-04	8.045489965334386984e-01	1.360589176683259238e-02
-4.669999999999999672e-04	8.413756601887687481e-01	-1.622371994674341733e-02
-4.659999999999999971e-04	8.597889920164336619e-01	1.733459323102959360e-02
-4.649999999999999728e-04	8.818849902096317361e-01	9.877190302635591168e-03
-4.640000000000000027e-04	8.929329893062307733e-01	9.877190302635591168e-03
-4.629999999999999784e-04	9.260769865960278846e-01	3.224939908781759845e-02
-4.619999999999999541e-04	9.223943202304949462e-01	9.877190302635591168e-03
