# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+00,9.865543693506387513e+01,4.272927073772589401e-01,3.050635055452012523e+00,6.342991682460008725e-03
1.018628990244687449e+00,9.933642394380152041e+01,3.044351630421229804e-01,3.048504472416783351e+00,2.415802830445983995e-03
1.037605019766911774e+00,9.923502572977164959e+01,3.002838177954200161e-01,3.043878422559247898e+00,1.414871461115464876e-03
1.056934553557988377e+00,9.920466660444803608e+01,2.320721924534555614e-01,3.044301787744389642e+00,2.481887821837697617e-03
1.076624177045493180e+00,9.932623999772997081e+01,1.888085281896105250e-01,3.041932735142955035e+00,2.449007765611235874e-03
1.096680598336868373e+00,9.914848785635599882e+01,1.536194122693411435e-01,3.040784431376985175e+00,3.993077271662567700e-03
1.117110650504824054e+00,9.931009278813570518e+01,3.520966244146263580e-01,3.039822734313120112e+00,3.866721389226686085e-03
1.137921293915314935e+00,9.915506363251621735e+01,2.421302522635963017e-01,3.036146438624927946e+00,2.055063883161054906e-03
1.159119618598885459e+00,9.928324199408916684e+01,3.063926028613574437e-01,3.033075145182185572e+00,3.545616020507911473e-03
1.180712846666190030e+00,9.927749166139560089e+01,1.994579424287971914e-01,3.031542420224802470e+00,3.037078847696659308e-03
1.202708334768511689e+00,9.911758840896108325e+01,2.396320855954569840e-01,3.031369728308808131e+00,2.203379690611329510e-03
1.225113576604118792e+00,9.902709835520192883e+01,3.060948917727150942e-01,3.030115843894247263e+00,2.789238571576672151e-03
1.247936205471311011e+00,9.923229712559050597e+01,3.528443191493380038e-01,3.025942240127418525e+00,3.490031438256092217e-03
1.271183996869028610e+00,9.913829509281057994e+01,2.126996995788800748e-01,3.024806202770728536e+00,1.753631429943057572e-03
1.294864871145904539e+00,9.915084062181236391e+01,2.991155647694024311e-01,3.021730677358979822e+00,3.806256195567962481e-03
1.318986896198670156e+00,9.899064650321103898e+01,2.473256691307821331e-01,3.021819377272568552e+00,2.517170186922369508e-03
1.343558290220825846e+00,9.903340296500779516e+01,2.233714032083605472e-01,3.016895067224949933e+00,3.366075697474877823e-03
1.368587424502518690e+00,9.914617727842318118e+01,2.212389513050809497e-01,3.016258272248717898e+00,2.917233294037824016e-03
1.394082826282577958e+00,9.887128008526008216e+01,3.349927460408236302e-01,3.011428787093629378e+00,3.842908817280187017e-03
1.420053181653682550e+00,9.894239333559119132e+01,2.406182073755539774e-01,3.010599691188748928e+00,3.067422225755336070e-03
1.446507338521646702e+00,9.896732942259437493e+01,1.679515589612272097e-01,3.008007515511118335e+00,2.994940064386381398e-03
1.473454309619835145e+00,9.882628583368978070e+01,2.813819739192167102e-01,3.005245664295733921e+00,3.201884309952075184e-03
1.500903275579736018e+00,9.887854249795627481e+01,2.151270424394015057e-01,3.003759562153593521e+00,2.023519596294798360e-03
1.528863588058730461e+00,9.887480515561843220e+01,3.250111665772286718e-01,3.000159507771051004e+00,3.021837458523344601e-03
1.557344772926134269e+00,9.864457815087713755e+01,2.817532586008763551e-01,2.999486392368107879e+00,3.565067047746162815e-03
1.586356533508590516e+00,9.865615883239019013e+01,2.338221424462846032e-01,2.994780481354842649e+00,2.866306646955498177e-03
1.615908753895918260e+00,9.861398240256006886e+01,2.450857113422943712e-01,2.991096349028428580e+00,3.750748835107730293e-03
1.646011502308550645e+00,9.874935331516215342e+01,1.738922109001931338e-01,2.989894712125363174e+00,3.200721061815574048e-03
1.676675034527699948e+00,9.852718179603466808e+01,2.394007681373184759e-01,2.987515248138937096e+00,3.284262014562419011e-03
1.707909797389427498e+00,9.850485524032150408e+01,2.886554432970017126e-01,2.984790929945182025e+00,3.356954222402326257e-03
1.739726432343801532e+00,9.852374137154411926e+01,1.691172363196043194e-01,2.980917352721734748e+00,2.636979186933514907e-03
