*Frequency 	ch1-abs (dB)	ch1-phase (deg)	ch2-abs (dB)	ch2-phase (deg)
10	0	0	38.5516841947324	147.851498297999
11.2201845430196	0	0	38.2444219270948	144.809819751856
12.5892541179417	0	0	37.886160161299	141.648605654048
14.1253754462275	0	0	37.4734804351138	138.402823669689
15.8489319246111	0	0	37.004164375119	135.112590552603
17.7827941003892	0	0	36.4774113131179	131.820859689962
19.9526231496888	0	0	35.8939199778861	128.570681112885
22.3872113856834	0	0	35.2558171126946	125.402446583982
25.1188643150958	0	0	34.5664480293595	122.35153650802
28.1838293126445	0	0	33.8300710677851	119.446676853578
31.6227766016838	0	0	33.0515111777988	116.709137930268
35.4813389233575	0	0	32.2358253268249	114.15272851624
39.8107170553497	0	0	31.3880183542194	111.784411723667
44.6683592150963	0	0	30.5128293335141	109.605314398654
50.1187233627272	0	0	29.6145917364686	107.611910651486
56.2341325190349	0	0	28.697159142126	105.797207299448
63.0957344480193	0	0	27.7638824646285	104.151818840466
70.7945784384138	0	0	26.8176234838567	102.664874187226
79.4328234724282	0	0	25.8607910822228	101.324738378213
89.1250938133746	0	0	24.8953894539201	100.11955854835
100	0	0	23.9230705989829	99.0376570824997
112.201845430196	0	0	22.9451860774166	98.067799782345
125.892541179417	0	0	21.9628350691868	97.1993664733433
141.253754462275	0	0	20.9769072627318	96.4224483475358
158.489319246111	0	0	19.9881200719244	95.7278921769378
177.827941003892	0	0	18.9970502795401	95.1073073246089
199.526231496888	0	0	18.0041605363386	94.5530477158541
223.872113856834	0	0	17.0098212991678	94.058177794697
251.188643150958	0	0	16.0143288357949	93.6164289960175
281.838293126446	0	0	15.0179199047789	93.2221513455057
316.227766016838	0	0	14.0207836661573	92.8702633619811
354.813389233575	0	0	13.0230713121839	92.5562023814778
398.107170553497	0	0	12.0249038382207	92.2758766619483
446.683592150963	0	0	11.026378308439	92.0256200884899
501.187233627272	0	0	10.0275729123463	91.8021499236754
562.341325190349	0	0	9.02855105749139	91.6025277912444
630.957344480193	0	0	8.02936470111697	91.4241239104974
707.945784384138	0	0	7.03005708855213	91.2645844883724
794.328234724282	0	0	6.03066503806361	91.1218021082098
891.250938133746	0	0	5.03122088995392	90.9938889155119
1000	0	0	4.03175422120841	90.879152382182
1122.01845430196	0	0	3.03229341536997	90.7760734251334
1258.92541179417	0	0	2.0328671701213	90.6832866580889
1412.53754462275	0	0	1.03350602200963	90.5995625635934
1584.89319246111	0	0	0.0342439687496291	90.5237913834698
1778.27941003892	0	0	-0.96487972533776	90.454968538632
1995.26231496888	0	0	-1.96381844569544	90.3921814022927
2238.72113856834	0	0	-2.96251575632825	90.3345972634814
2511.88643150958	0	0	-3.96090241183708	90.2814523300047
2818.38293126446	0	0	-4.95889269732157	90.2320416312427
3162.27766016838	0	0	-5.95637990713783	90.1857096913534
3548.13389233576	0	0	-6.95323073104355	90.1418418524597
3981.07170553497	0	0	-7.94927826346152	90.0998561351997
4466.83592150963	0	0	-8.94431328676495	90.0591955306315
5011.87233627273	0	0	-9.938073400955	90.0193206229267
5623.41325190349	0	0	-10.9302294784568	89.9797024465909
6309.57344480194	0	0	-11.9203688133285	89.9398154851646
7079.45784384138	0	0	-12.9079742098029	89.899130720521
7943.28234724282	0	0	-13.8923981194067	89.8571086430394
8912.50938133746	0	0	-14.8728307973293	89.8131921331455
10000	0	0	-15.8482613234563	89.766799124001
11220.1845430196	0	0	-16.8174302499123	89.7173149535385
12589.2541179417	0	0	-17.7787726417326	89.6640843115746
14125.3754462276	0	0	-18.730350443276	89.6064026843179
15848.9319246111	0	0	-19.6697735385307	89.5435071940916
17782.7941003892	0	0	-20.5941097309844	89.4745667261504
19952.6231496888	0	0	-21.4997853481164	89.3986712264447
22387.2113856834	0	0	-22.3824805130651	89.3148200431269
25118.8643150958	0	0	-23.2370265527648	89.2219091689416
28183.8293126446	0	0	-24.0573176594684	89.1187172197033
31622.7766016838	0	0	-24.8362546508306	89.0038899541759
35481.3389233575	0	0	-25.565744810412	88.8759231027527
39810.7170553497	0	0	-26.2367868245282	88.7331432299155
44668.3592150963	0	0	-26.8396712055039	88.573686318761
50118.7233627272	0	0	-27.3643208862061	88.3954737539642
56234.1325190349	0	0	-27.8007805651309	88.1961854192324
63095.7344480194	0	0	-28.1398356042706	87.973229742476
70794.5784384139	0	0	-28.3737051131225	87.7237107257314
79432.8234724282	0	0	-28.4967186749695	87.4443922628061
89125.0938133746	0	0	-28.5058659335863	87.1316603176852
100000	0	0	-28.401115756872	86.7814837489381
112201.845430196	0	0	-28.185440764879	86.3893747078752
125892.541179417	0	0	-27.8645438311418	85.9503496898184
141253.754462276	0	0	-27.4463452766128	85.4588926365803
158489.319246112	0	0	-26.9403317561357	84.9089221485626
177827.941003892	0	0	-26.3568789407554	84.2937659890475
199526.231496888	0	0	-25.7066424205379	83.6061476980778
223872.113856834	0	0	-25.000076936066	82.8381922742869
251188.643150958	0	0	-24.2471072283063	81.9814605035719
281838.293126445	0	0	-23.4569444717163	81.027024555441
316227.766016838	0	0	-22.6380242757665	79.9656007662005
354813.389233575	0	0	-21.7980346238551	78.7877586764462
398107.170553498	0	0	-20.9440015491482	77.484227549277
446683.592150963	0	0	-20.0824032528532	76.0463212651386
501187.233627273	0	0	-19.2192870521715	74.4664972940488
562341.325190349	0	0	-18.3603665273014	72.7390520611768
630957.344480195	0	0	-17.5110782340408	70.8609294918268
707945.784384138	0	0	-16.6765791265946	68.8325783394754
794328.234724283	0	0	-15.8616690461428	66.6587362105858
891250.938133745	0	0	-15.0706295149621	64.3489491041806
1000000	0	0	-14.3069828331379	61.9175692711426
 
