# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+01,6.903909882628889250e+01,4.408878777046599140e+00,2.421657898123385166e+00,3.931527495345012169e-02
1.009271514630571254e+01,7.326871061923034745e+01,2.656054796688643860e-01,2.388488083942218232e+00,2.666349312677381098e-03
1.018628990244687493e+01,7.286379629299690919e+01,2.116415814901367320e-01,2.384877951387063710e+00,3.096707293828581016e-03
1.028073223830865324e+01,7.257895356383841090e+01,3.557006582812521356e-01,2.379945196792038420e+00,3.515992565740655180e-03
1.037605019766911774e+01,7.227387982001030764e+01,3.053020189659434447e-01,2.376399639915486084e+00,1.446701754667221833e-03
1.047225189888434826e+01,7.203672922101658571e+01,9.813604238420266246e-02,2.373646894508254057e+00,3.325732855111375886e-03
1.056934553557988288e+01,7.172073066894191129e+01,1.071675525151105091e-01,2.366893238143517486e+00,1.907761642392770060e-03
1.066733937734857562e+01,7.125456772983788767e+01,1.907367903273649301e-01,2.360761740170994383e+00,2.062913433645042604e-03
1.076624177045493269e+01,7.079152337040558507e+01,1.563597535757261237e-01,2.358441701682468583e+00,1.546532702525862338e-03
1.086606113854597488e+01,7.062413833323901713e+01,2.558011767628933231e-01,2.351232395168666667e+00,3.227694737828865849e-03
1.096680598336868506e+01,7.027951947580861258e+01,1.462287873375242298e-01,2.349307018277495107e+00,2.876212203975278027e-03
1.106848488549412579e+01,6.993059222375735828e+01,2.469586149186607515e-01,2.344014949391056923e+00,2.969026709312079602e-03
1.117110650504824143e+01,6.960422388100565172e+01,2.629115389233066535e-01,2.340149693097011152e+00,2.487216702006697557e-03
1.127467958244946722e+01,6.934347301261669827e+01,2.304776538645361972e-01,2.334008596854222795e+00,1.858658366330972729e-03
1.137921293915315069e+01,6.891601154887237612e+01,2.071912532167750898e-01,2.329411163590938028e+00,3.306690936768926468e-03
1.148471547840289553e+01,6.859037283620213543e+01,2.764614084023643836e-01,2.325641333213627426e+00,2.447451135290039381e-03
1.159119618598885637e+01,6.829336285772112092e+01,1.684610848988676024e-01,2.319194924414698988e+00,2.135864733317685126e-03
1.169866413101307501e+01,6.792648848338441780e+01,1.552190295822865607e-01,2.315208277607761822e+00,3.028373724540327477e-03
1.180712846666190252e+01,6.754937407170551467e+01,1.955176924976274322e-01,2.311273321513600987e+00,2.277563995895573717e-03
1.191659843098559435e+01,6.725867985874192811e+01,2.263716380182251298e-01,2.305168141799181392e+00,3.248087622070219317e-03
1.202708334768512088e+01,6.701468970259119828e+01,2.282840259400130967e-01,2.304215148528521162e+00,3.490798290284152436e-03
1.213859262690628249e+01,6.654315944029694663e+01,2.339633108349049029e-01,2.296874063685391487e+00,2.560057760693360863e-03
1.225113576604118926e+01,6.624946347140344471e+01,1.181372214864482156e-01,2.293652821231728645e+00,2.352308295162581012e-03
1.236472235053715707e+01,6.589189778610631265e+01,1.421152293856065285e-01,2.289569134063946798e+00,2.468623691176497631e-03
1.247936205471311411e+01,6.544619798155828505e+01,1.764012504107888013e-01,2.282840901940755174e+00,3.099057988108874784e-03
1.259506464258357639e+01,6.510727287271120645e+01,2.442091196559705857e-01,2.280039875655196280e+00,1.674724817473214602e-03
1.271183996869028832e+01,6.488629234250413447e+01,1.838916608179748391e-01,2.274645239911951222e+00,2.956878234197414090e-03
1.282969797894147490e+01,6.455434184308907675e+01,1.762913043945873171e-01,2.271219057887556403e+00,3.243756843817445154e-03
1.294864871145904317e+01,6.414540966670881517e+01,1.775147244147224357e-01,2.265720959360714826e+00,2.396611426999176349e-03
1.306870229743346279e+01,6.371503353439859296e+01,2.499354009320491066e-01,2.262312744546454812e+00,2.840007836073671094e-03
1.318986896198669889e+01,6.354144947469283977e+01,1.374843415681191727e-01,2.257352288000660234e+00,2.598649451690388835e-03
1.331215902504307635e+01,6.309242515878617041e+01,2.492300651622803287e-01,2.251107306413170583e+00,3.764297159933519769e-03
1.343558290220825668e+01,6.277298283976872284e+01,1.243488014521841462e-01,2.248458147348151748e+00,3.459528192861943338e-03
1.356015110565633286e+01,6.252363460245338445e+01,1.221051394216264019e-01,2.244883147413184510e+00,3.010342924630354539e-03
1.368587424502518424e+01,6.207980520310523076e+01,2.358934078234043163e-01,2.237386868933032957e+00,2.643589488292076486e-03
1.381276302832009506e+01,6.172253069018514537e+01,1.528440920225968558e-01,2.234671400175899603e+00,3.666505268677114869e-03
1.394082826282577869e+01,6.123101142495544025e+01,1.032767878632492586e-01,2.228659464133003532e+00,3.146140720274548733e-03
1.407008085602685021e+01,6.098916828102710497e+01,1.933388687104732329e-01,2.223811202272019116e+00,2.069825367210398337e-03
1.420053181653682373e+01,6.065821681573830659e+01,1.426308647389131212e-01,2.221831746679033159e+00,2.703340111515839354e-03
1.433219225503573924e+01,6.027692410475682294e+01,1.911986100256222176e-01,2.215869776961777227e+00,1.346571537629123478e-03
1.446507338521646346e+01,5.981929296195364998e+01,2.611816110474615704e-01,2.213411845640484543e+00,2.425112658505859317e-03
1.459918652473978717e+01,5.950422413752943385e+01,1.565395729677734882e-01,2.208535121069292284e+00,3.607288824475811569e-03
1.473454309619835101e+01,5.918247382814091395e+01,1.850882897705116714e-01,2.205047876234541349e+00,1.556364489916161210e-03
1.487115462808953836e+01,5.877954060574204220e+01,2.024330939848082433e-01,2.201016876256391974e+00,2.679486730635682618e-03
1.500903275579735840e+01,5.851882171259514109e+01,1.880047422997724316e-01,2.195337657284597732e+00,2.335293199938306367e-03
1.514818922258345779e+01,5.803724673660069300e+01,1.371415693192054863e-01,2.191663246438243728e+00,2.431305366618049645e-03
1.528863588058730194e+01,5.774049279051348549e+01,1.215878952229130644e-01,2.186439510267274677e+00,1.938732522747636930e-03
1.543038469183564487e+01,5.749551571682127360e+01,1.773090771017392375e-01,2.180830556046943869e+00,3.259313435610319311e-03
1.557344772926134269e+01,5.710498344973641593e+01,1.360882423148510600e-01,2.179120356833834649e+00,4.241925217483093723e-03
1.571783717773162792e+01,5.672422658016485997e+01,1.923845755547237690e-01,2.172399133431714979e+00,2.796801784895879862e-03
1.586356533508590516e+01,5.634874533159820942e+01,2.054594739207177556e-01,2.166513896714647558e+00,4.757229782094301619e-03
1.601064461318317811e+01,5.594635324287846601e+01,2.062330192657225725e-01,2.164374077093356608e+00,3.199251768401058672e-03
1.615908753895918437e+01,5.562298698080819292e+01,1.838226428167610005e-01,2.159065351498912655e+00,3.058831408494690901e-03
1.630890675549332514e+01,5.528863919969968777e+01,1.463845011626959680e-01,2.157699337852655219e+00,3.253640423614602081e-03
1.646011502308550689e+01,5.487496269721771114e+01,1.469091408796374121e-01,2.151948317441275016e+00,2.500119037421315044e-03
1.661272522034293075e+01,5.462249698849244339e+01,1.950178264790170535e-01,2.147891204702471413e+00,2.174522677017981954e-03
1.676675034527699992e+01,5.422801134093915465e+01,1.281539865411525370e-01,2.144416491503671640e+00,1.873554348253739362e-03
1.692220351641037368e+01,5.382335086195566731e+01,1.247731344617993982e-01,2.138737409141184376e+00,3.589373903229555254e-03
1.707909797389427808e+01,5.347275551311256692e+01,1.440592808103744737e-01,2.134424884716489501e+00,3.584213432316852611e-03
1.723744708063619768e+01,5.314281169025555585e+01,1.556217638280884552e-01,2.130211640179242583e+00,3.593985568165269668e-03
1.739726432343801577e+01,5.282648280988665590e+01,2.216774586156035620e-01,2.124403513960165135e+00,1.482973625623213235e-03
1.755856331414468841e+01,5.243194536852369225e+01,1.235280823649190785e-01,2.123175152914694053e+00,3.314932459930807450e-03
1.772135779080359441e+01,5.208763161570018241e+01,2.282775487084341692e-01,2.119459797889466923e+00,2.790912500640532062e-03
