# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.004037603464626338e+00,4.889906429968496858e-03,-2.795286331196215834e-06,1.089744714631668166e-05
1.024563920435848985e+00,5.264385073965744885e-03,-1.505723977172014485e-06,1.228270504765158553e-05
1.044204209336371925e+00,5.089308183017588784e-03,-3.073161130024850988e-07,1.062637511331720649e-05
1.061740181568981756e+00,5.181139161759818618e-03,1.948090317984119679e-06,1.083077394378415827e-05
1.080605195907641924e+00,5.266197032004279674e-03,3.160574144180655275e-06,1.090595802795973635e-05
1.100836170188631780e+00,4.985138340343954477e-03,2.739637911894518017e-06,1.073601640443365376e-05
1.121694747686366789e+00,5.685107055729548588e-03,2.521789460402052690e-06,1.249034108529081049e-05
1.142331818166427704e+00,5.755868366859530523e-03,1.181929024572076209e-06,1.245702742598465650e-05
1.160606147124620957e+00,5.576915439822993995e-03,1.011000446498502041e-06,1.076348111557422285e-05
1.181612395967473583e+00,5.612239708640568737e-03,2.667193672335020141e-06,1.144589093705794258e-05
1.204316865279167814e+00,4.929879082176538869e-03,-2.946234154324764151e-06,1.160767648842219605e-05
1.222111262365731754e+00,4.777401954900735437e-03,1.449306361266193372e-06,1.020812203006611030e-05
1.243006757699746778e+00,5.803502650759370315e-03,1.230787625867244886e-06,1.184927663971996430e-05
1.263939170870040929e+00,5.008323252387821868e-03,1.386943169153188249e-06,1.186519662533467400e-05
1.283690213279401249e+00,5.372781974048136504e-03,2.240315024636853939e-07,1.167956145535353926e-05
1.303552009197599171e+00,5.562232881377049756e-03,2.061865484781815489e-06,1.162011225773257320e-05
1.324078326168822262e+00,4.529624440432355841e-03,-6.701210460956965685e-07,1.134919024762544107e-05
1.340728270330731497e+00,4.284696229684524169e-03,4.336025440367995613e-06,1.034987868262929060e-05
1.360516230576370722e+00,5.424535561799447535e-03,1.456582632216008704e-06,1.182394881559171280e-05
1.380931794038756655e+00,5.566396871610942640e-03,2.158328668171906994e-06,1.164468774425418282e-05
1.401310439664863683e+00,4.665690112168187180e-03,3.182468898823956873e-06,1.035945041759820146e-05
1.422316688507715421e+00,5.194800033073174693e-03,2.425732793721798038e-06,1.071019508560950228e-05
1.441920059571958568e+00,5.268525776659967706e-03,-1.147427068283713636e-06,1.020714592668994054e-05
1.461597266308760856e+00,4.929879082176529329e-03,1.390826806946896783e-06,1.126781621054064511e-05
1.484117146439059898e+00,5.909621993747139583e-03,3.385058027036963877e-07,1.158834321109911960e-05
1.505381820135866855e+00,5.185871997301962251e-03,-4.229222897428657582e-07,1.170803000653210374e-05
1.522548614005684531e+00,4.260452667507410099e-03,2.589876105484791691e-06,1.080626347849165864e-05
1.541893560215973569e+00,6.156319020404245508e-03,4.155451775880561837e-07,1.192062851285201089e-05
1.559355696776024924e+00,4.963218311809529729e-03,7.444530186468825601e-06,1.120051756063877033e-05
1.579845095910968888e+00,5.635988659304322704e-03,2.622008519349115362e-06,1.147636213182275009e-05
1.599448466975212924e+00,5.836755449893636129e-03,4.035569274620199309e-06,1.185620756048424999e-05
1.618534988331548297e+00,5.229838594253232234e-03,6.799030299541123975e-06,1.094293004243915631e-05
1.637436920506486704e+00,5.341233971194635916e-03,7.152913413053502840e-06,1.106595556646645382e-05
1.655526660283284102e+00,5.336383524719133693e-03,1.240102208617679717e-05,1.240036380409597083e-05
1.673284139533569359e+00,5.270594908119825839e-03,1.411620029574106950e-05,1.170905549776338514e-05
1.689011137788499095e+00,5.327948570035973171e-03,1.956806909424261884e-05,1.123425912630093505e-05
1.703556765282495000e+00,4.776831348514096534e-03,2.756155761227674226e-05,1.110364233276498903e-05
1.718693078156957821e+00,4.789938097994239120e-03,3.334587486406843075e-05,1.068027237677041268e-05
1.731355896000716266e+00,5.770058219193132179e-03,4.555595870160117881e-05,1.144804565591559480e-05
1.744314056534707502e+00,5.395311583382608571e-03,5.566947484774154291e-05,1.109511032282345731e-05
1.753469679931944025e+00,5.576915439822997464e-03,7.153581932685736209e-05,1.161033696142396219e-05
1.763252906545926590e+00,4.136445452622519205e-03,8.487059834503263831e-05,9.570621513218718210e-06
1.769270513859432237e+00,5.757052190398288631e-03,1.049227071446573066e-04,1.206640687364801837e-05
1.778721479946902440e+00,4.482135496368207760e-03,1.201402415309412824e-04,1.011439824806152391e-05
1.784591415915291801e+00,4.835250097563532912e-03,1.419108923237462534e-04,1.128221672030723223e-05
1.790387516211122687e+00,4.797898589404146243e-03,1.628249532555855496e-04,1.055617632448673808e-05
1.796109780834394876e+00,5.177718312248859138e-03,1.825607004156668857e-04,1.074379681312853527e-05
1.801425949258597115e+00,4.825939322872061996e-03,2.054674391548318060e-04,1.076265284173393777e-05
1.806188350138610677e+00,4.307854346360973606e-03,2.291349212777731503e-04,9.446452471201234022e-06
1.809695544585132820e+00,4.596530072139464254e-03,2.513238148031537327e-04,1.019920435823685205e-05
1.813313492540492344e+00,4.730383652753082820e-03,2.773177637545208509e-04,1.106964965155749811e-05
1.818002057747947653e+00,5.316937490162184157e-03,2.987881397215273434e-04,1.163256894006100226e-05
1.820475552778652251e+00,4.901598793376712483e-03,3.223899381430423827e-04,1.068403718489856379e-05
1.824610350441920437e+00,4.656040277407257066e-03,3.472484694319537919e-04,1.121660869086730273e-05
1.827785284361929774e+00,5.208163390336487987e-03,3.705694292002596518e-04,1.128108670372053199e-05
1.829889601029842883e+00,5.697320488785065015e-03,3.961082739255870162e-04,1.231865412979673385e-05
1.833839809511714991e+00,4.896034483723631092e-03,4.192006751246721481e-04,1.162696361199553736e-05
1.837014743431724551e+00,4.603640861599445425e-03,4.449881848757171140e-04,1.018216431726475259e-05
1.841814062148017017e+00,5.813123343047604981e-03,4.680651695449664844e-04,1.195124197811536043e-05
1.843918378815930570e+00,4.683184324692834209e-03,4.929605664487080041e-04,1.097310055474760496e-05
1.846428791682915183e+00,5.736418803433568879e-03,5.196716923906376413e-04,1.226933736271744220e-05
1.848939204549898907e+00,4.739882135684253713e-03,5.457393705109858792e-04,1.107999011172816376e-05
1.850342082328507498e+00,4.332461843410091024e-03,5.720416397557075237e-04,1.050396478955903391e-05
1.853184755722004695e+00,4.882375124417223482e-03,5.967091483741337890e-04,1.130416941042524517e-05
1.854993729699684124e+00,5.836521937643329196e-03,6.250416292642401155e-04,1.257524663866669485e-05
1.856175100460618177e+00,5.239992366360126871e-03,6.505972310872154898e-04,1.165738342336303163e-05
1.858168663619694128e+00,5.446350640181924808e-03,6.767815344858423010e-04,1.288163167430171479e-05
1.860679076486678074e+00,4.655454796074919369e-03,7.026883506507936982e-04,1.037307414350155167e-05
1.863780174734128936e+00,4.483655637329807438e-03,7.250990999063361246e-04,1.012381038631934724e-05
1.866475176782508294e+00,4.771121531330553903e-03,7.558284233136370201e-04,1.065421921964649106e-05
1.867398122689488016e+00,4.423366905396609004e-03,7.804771660433780641e-04,1.028051475998327221e-05
1.867878054561117551e+00,5.441343421471274942e-03,8.076005021627301328e-04,1.110355601277913476e-05
1.870609974445777146e+00,5.206331234904695328e-03,8.379538107235329084e-04,1.091813473953212604e-05
1.871200659826243617e+00,4.829327136081759154e-03,8.638954816515961518e-04,1.076620576977207265e-05
1.874929361290440966e+00,5.213133137815665133e-03,8.871527665095142734e-04,1.116824794128776951e-05
1.877070595794632979e+00,4.898260966095934789e-03,9.128518029063297521e-04,1.095553608375623450e-05
1.877956623865333130e+00,4.722309351434224658e-03,9.393779387329310440e-04,1.164020526413142859e-05
1.879359501643942165e+00,4.889906429968469970e-03,9.660555525402436542e-04,1.117927687690414608e-05
1.881205393457901165e+00,4.884607832947955412e-03,9.934221914140646016e-04,1.064642090238972330e-05
1.881796078838368080e+00,5.311038471811055199e-03,1.020865240592490949e-03,1.125250220260921531e-05
1.884564916559306136e+00,5.110954108254833934e-03,1.044461676742758621e-03,1.117269157304327196e-05
1.885783205156519093e+00,5.100810668157199600e-03,1.074842466943710158e-03,1.128154192931705741e-05
1.886115465683031456e+00,4.713932102372976954e-03,1.103952448315236121e-03,1.023328236777551374e-05
1.888478207204899117e+00,5.043576382454007835e-03,1.130022807571205061e-03,1.097031025799294037e-05
1.890693277381649828e+00,5.254019040330033113e-03,1.155452400141216123e-03,1.190735095169952319e-05
1.891025537908162635e+00,5.104016037557017674e-03,1.183865313039360366e-03,1.202213460251710303e-05
1.892059237323978849e+00,5.809840019801748925e-03,1.213016179668472945e-03,1.140659407711556726e-05
1.892539169195608384e+00,4.868677443130310298e-03,1.239764171225234699e-03,1.096060875566575459e-05
1.895012664226313648e+00,4.369425169354818062e-03,1.264384762030923079e-03,1.040577825130233862e-05
1.895824856624455323e+00,5.610053642150169238e-03,1.292681719934688856e-03,1.133375324418285411e-05
1.899442804579814181e+00,5.250905239756062381e-03,1.315512050429936720e-03,1.191089946067508093e-05
1.900181161305398492e+00,5.297162785153930811e-03,1.344561038026698086e-03,1.148432906364275609e-05
1.899922736451444383e+00,4.631092045813583677e-03,1.375022260235688083e-03,1.034140324767750631e-05
1.902765409844940914e+00,5.563702880842809513e-03,1.398242011255552324e-03,1.144011036532870317e-05
1.903356095225408051e+00,4.655162027795152480e-03,1.425470577826783028e-03,1.044818727543713071e-05
