# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.002111307272209206e+00,5.182191276535981668e-03,1.389779418376904569e-06,1.065496428165106084e-05
2.017099948801555964e+00,5.085289567238482529e-03,2.887125661897664423e-06,1.113830569211770078e-05
2.033011536237881334e+00,4.845105609837159662e-03,3.461659228689964711e-07,1.042136480392366930e-05
2.047852506422111585e+00,5.685586508149188811e-03,1.256366132228263221e-06,1.224344884175868825e-05
2.062361216079828807e+00,5.286861019695554553e-03,-8.301576039847948661e-07,1.088907574242034344e-05
2.079011160241737599e+00,4.856905826538158132e-03,-3.491764324732174369e-06,1.128271036407641455e-05
2.093409116390617442e+00,5.130383921840112570e-03,-1.876452235117983013e-06,1.134806530474998601e-05
2.108102415229730298e+00,5.036004252783963207e-03,1.624627976384035130e-07,1.134049855757823027e-05
2.124087838338614365e+00,4.794488568653980202e-03,-2.808802723593374038e-06,1.085580543654486424e-05
2.138559630160052460e+00,5.218098152080195666e-03,1.993057449738564070e-07,1.196528847452086336e-05
2.154102039233587007e+00,5.162956433848428332e-03,-2.334951154996509418e-06,1.052441383071082493e-05
2.169386023453165890e+00,5.521407699461610905e-03,-1.432794352507205147e-06,1.125097704686084583e-05
2.184559254163907838e+00,4.718844707276391784e-03,-1.654660386073882547e-06,1.091848916997151517e-05
2.200840019963025807e+00,5.145769007174502002e-03,-3.076289276392931538e-06,1.077398283831657125e-05
2.214573455058879592e+00,4.547642110767513395e-03,3.741900846856177212e-07,1.070692251532709572e-05
2.230374288986368470e+00,4.854941115499090097e-03,-3.952772932701379748e-07,1.067671456314180198e-05
2.246175122913856903e+00,5.151857267086473735e-03,-3.953018564757251791e-06,1.060712340670207347e-05
2.260499243390178048e+00,4.842573250972683797e-03,-2.068262648338540212e-06,1.140026699052102335e-05
2.274158842813474024e+00,4.940373486810684285e-03,-9.757513985908517776e-07,1.070111789844022869e-05
2.287855360073048683e+00,5.434074758919629072e-03,-3.664962989365981820e-07,1.148947517216601338e-05
2.302290234058207208e+00,5.627276201684764875e-03,2.829737743949208306e-07,1.105216498689665941e-05
2.318423328512208670e+00,5.185346340010272941e-03,9.016107880497598351e-07,1.097853241746804433e-05
2.333375052205275857e+00,4.838349707490189298e-03,9.518697169135357158e-07,1.166025433262593355e-05
2.349729653676952079e+00,4.882654268817288902e-03,-1.382650821793941686e-06,1.055660456799870099e-05
2.363573842281643245e+00,4.487605593931224927e-03,-6.688355541667794816e-07,1.021297102527590628e-05
2.377934880594243960e+00,5.455352052211589337e-03,3.559573877484133413e-08,1.130942467472446306e-05
2.392997357796148528e+00,4.624023470776484311e-03,9.953948964975680582e-07,1.042789568106749713e-05
2.404958736750602455e+00,4.759394991237024877e-03,2.976669634700263295e-06,1.028148740726324884e-05
2.418396829156223227e+00,5.242332751643263844e-03,9.113543856958622680e-06,1.149300480606412948e-05
2.432499442614869611e+00,4.754810935281720066e-03,1.282542363796781152e-05,1.040838978951484470e-05
2.442098080047455877e+00,5.390509796821875768e-03,1.881752477925638251e-05,1.224646291107773836e-05
2.451549046134925636e+00,4.695101213303333465e-03,2.727885703890767886e-05,1.125151064093000176e-05
2.460963094386115380e+00,4.938441982678825476e-03,3.402499872490781979e-05,1.058925244372243181e-05
2.469934128601956047e+00,4.870076930768282852e-03,4.270952728253030829e-05,1.125775589538196847e-05
2.476320914278253849e+00,5.156881277728061347e-03,5.476545612509235559e-05,1.156477853589791630e-05
2.483999824224322861e+00,5.737369092316623939e-03,6.535016743238034097e-05,1.161968274539697839e-05
2.489906678028991571e+00,5.332551108412146926e-03,7.602067301895380714e-05,1.109142635439863563e-05
2.495149010780634224e+00,4.681146702054065668e-03,9.254789476189171510e-05,1.075952563201123068e-05
2.501018946749023808e+00,5.338171044074069976e-03,1.056856206151100862e-04,1.134225559957650354e-05
2.506888882717413392e+00,4.577513964449851647e-03,1.195204149417121149e-04,1.125558242145756375e-05
2.511134433889519180e+00,5.420262591020674585e-03,1.339745289299633336e-04,1.145127855915607916e-05
2.515490738570461904e+00,5.032213915193052209e-03,1.512149059600280724e-04,1.101502116557000914e-05
2.519108686525821650e+00,5.562232881377070573e-03,1.685223093200104931e-04,1.182953112281030307e-05
2.521951359919318403e+00,4.761112874343430626e-03,1.877205114549715533e-04,1.197487519759343131e-05
2.525606225710956831e+00,5.160844147196134990e-03,2.026143152001074919e-04,1.063064040778899177e-05
2.528707323958408359e+00,5.021640031970700351e-03,2.197702405793775101e-04,1.085940115323761223e-05
2.532620614604001119e+00,4.761399127935927837e-03,2.372331436235099189e-04,1.085264841657753369e-05
2.535795548524010012e+00,5.229838594253201876e-03,2.535834186579896655e-04,1.125482730327147644e-05
2.537419933320293808e+00,5.114952560459646441e-03,2.727501195100515835e-04,1.057413909975976544e-05
2.542182334200308258e+00,5.503853868102598010e-03,2.871412288718200767e-04,1.145239019957157397e-05
2.545726446483109306e+00,5.750182621283315976e-03,3.049325586658040480e-04,1.138101514077839642e-05
2.547203159934276595e+00,5.468327933076512146e-03,3.239410786980899903e-04,1.097324721157299288e-05
2.551042614907310213e+00,4.681728970443860272e-03,3.412980810064365550e-04,1.029552518730505800e-05
2.554512891517553896e+00,4.879303482009117281e-03,3.575357524660701639e-04,1.165696769937418970e-05
2.557872414618958423e+00,4.587328988930145131e-03,3.736681934738254082e-04,1.127442614798428879e-05
2.558906114034775747e+00,5.295361422936267770e-03,3.921485503950008296e-04,1.101034309640533228e-05
2.560345909649663465e+00,4.794488568653962855e-03,4.143213591673179500e-04,9.780780479215469552e-06
2.563373172224556296e+00,4.402364905062346005e-03,4.332481066237580097e-04,1.006266011487201636e-05
2.565698995910144387e+00,4.528119731743659310e-03,4.511151764384376786e-04,1.041986898155685385e-05
2.567471052051545133e+00,4.120930220081486968e-03,4.707081613692637835e-04,1.011278370901428951e-05
2.570498314626437519e+00,5.217836953323827000e-03,4.873828414501575070e-04,1.163216476333512135e-05
2.572418042112954328e+00,4.933471785406916624e-03,5.067050419863680308e-04,1.054886779677659495e-05
2.573340988019934272e+00,5.049787852066970825e-03,5.277612010455962586e-04,1.102692657535849885e-05
2.575223797670172399e+00,5.350921673818926673e-03,5.468695892585185648e-04,1.132760895594680512e-05
2.577438867846922665e+00,4.927113681677233216e-03,5.655966003536957087e-04,1.027505178031768658e-05
2.579247841824602538e+00,4.683766339773016811e-03,5.845990878308315744e-04,1.125407053862369156e-05
2.582016679545541038e+00,4.988691247701239687e-03,6.012248392472705578e-04,1.111660617842945647e-05
