# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.505861752007495946e+00,5.122674051763810923e-03,-1.772152275486875746e-06,1.071318309849993967e-05
1.518746076868929373e+00,4.429832694182708579e-03,2.283570785211888516e-06,1.055036076302167716e-05
1.533402457871762437e+00,4.519080958212040935e-03,2.071088726330425789e-06,1.001184671223933133e-05
1.547320482149012522e+00,5.170606239376407919e-03,4.338562328308236971e-06,1.059214653192358281e-05
1.563379740930455286e+00,5.471068887305871077e-03,1.258714935666283721e-06,1.160270903902679183e-05
1.577666943570497748e+00,5.365420430478484541e-03,4.631085460570031887e-07,1.158719467951027262e-05
1.592101817555656273e+00,5.409187463167749142e-03,-6.707572018143223514e-08,1.237511617158827858e-05
1.608050322828261214e+00,5.375825181300966302e-03,1.037498579193101330e-06,1.118648551338075129e-05
1.621229990379927655e+00,5.587170273073955619e-03,3.211136555691940146e-06,1.218926105591133566e-05
1.636735481617182408e+00,5.595945172897929219e-03,2.232548841789387532e-06,1.262809181338134705e-05
1.650801177239549444e+00,4.742181933071286729e-03,2.513377191590772339e-06,1.146668507694895421e-05
1.665420640406104269e+00,4.922132045495296836e-03,6.591217560508406809e-06,9.912890198571769061e-06
1.680113939245216903e+00,4.917145362343115084e-03,8.147546727075228505e-06,1.184765126924707382e-05
1.692444496562463208e+00,4.526012299155782008e-03,8.781602331249445278e-06,1.131384483135498949e-05
1.704368957680637786e+00,5.414224420645346279e-03,1.285475277350534731e-05,1.134188731159685331e-05
1.718582324648120441e+00,5.341999428571418858e-03,1.624289779200835724e-05,1.081207518662061234e-05
1.730396032257457639e+00,5.203450830128225797e-03,1.962099061260005179e-05,1.168952018687728284e-05
1.741434465304931845e+00,5.865638924062410199e-03,2.472902025277377231e-05,1.237244329390116061e-05
1.751586870281705899e+00,5.525602454871515572e-03,3.301675516281504916e-05,1.159143714480428208e-05
1.761185507714292608e+00,4.541944248389205921e-03,3.959868347388876170e-05,1.032344188828153642e-05
1.769528938713386346e+00,4.828480405622713814e-03,5.081477749245310774e-05,1.069867584525383216e-05
1.778426137256668982e+00,4.886839521394743813e-03,5.773116510853052607e-05,1.140152158820387996e-05
1.785366690477154794e+00,4.810947944498662754e-03,6.886548861192442485e-05,1.105849993842309430e-05
1.792344161533919289e+00,4.661306300139262011e-03,8.005276248321160481e-05,1.017903819204677985e-05
1.798140261829749731e+00,4.236070358654319551e-03,9.469320715460745590e-05,1.088898275568916429e-05
1.805154650722793575e+00,4.562005011465683491e-03,1.054508455275966972e-04,1.137770984008322400e-05
1.810064722947924309e+00,4.902988884097925562e-03,1.202682389681313966e-04,1.093594778723833856e-05
1.814716370319100491e+00,4.195009978300840055e-03,1.385220461111231658e-04,1.069148334012697549e-05
1.818334318274460015e+00,5.259982005804300469e-03,1.554541049085158405e-04,1.176978701064435284e-05
1.822875212136798817e+00,4.862514912396873404e-03,1.694202707593298475e-04,1.107164893844527535e-05
1.828634394596351465e+00,4.630503410025236209e-03,1.844903509290177690e-04,1.067546286792274899e-05
1.831772410680081009e+00,4.893249956123237564e-03,2.021281918905721577e-04,1.147732010091568736e-05
1.836497893723816111e+00,5.560027153461793992e-03,2.173779019650255251e-04,1.108828096956324313e-05
1.839562074134987624e+00,5.261277408362017780e-03,2.344272563246044695e-04,1.105300266112508147e-05
1.841481801621504655e+00,5.714280036380497106e-03,2.524625612176465837e-04,1.169012810915297023e-05
1.844952078231747228e+00,4.675028505523650194e-03,2.693436804988651157e-04,1.016156216853837438e-05
1.847979340806640502e+00,5.244931954912534014e-03,2.875733594819207995e-04,1.129981588671565732e-05
1.850748178527578558e+00,5.925743990247521811e-03,3.048425587199424833e-04,1.167282927562171950e-05
1.854329208646659177e+00,4.816893505504163744e-03,3.207028747652659407e-04,1.092523597098109185e-05
1.856027429115501448e+00,4.817176444416306977e-03,3.386349600581464638e-04,1.098534275812563445e-05
1.858020992274576733e+00,4.557222407596627986e-03,3.569370276423707478e-04,1.060894396577446965e-05
1.862008118592728412e+00,4.869237286453394209e-03,3.753637618510650672e-04,1.157804289286684684e-05
1.863410996371336781e+00,4.851852105019435236e-03,3.951779322281461599e-04,1.078515339503515961e-05
1.865847573565762474e+00,5.205022157607870452e-03,4.127748879321161551e-04,1.083297422815243754e-05
1.867471958362046713e+00,4.504883750235305628e-03,4.333357257309427050e-04,1.011465032919320359e-05
1.869908535556472184e+00,5.239992366360133810e-03,4.500747510061327305e-04,1.086672713696916731e-05
1.871532920352756424e+00,4.577811698618101076e-03,4.719761050999255977e-04,1.149019598651629216e-05
1.872972715967643698e+00,5.148416961349194972e-03,4.929692595326737835e-04,1.193071644446767729e-05
1.875261621816953550e+00,5.302306162212877365e-03,5.112659648456478268e-04,1.207559736012759599e-05
1.876849088776957997e+00,5.566396871610924425e-03,5.304333359816155438e-04,1.237463395573403251e-05
1.878916487608592201e+00,4.623728712307931948e-03,5.483587184354347163e-04,1.045212391569791776e-05
1.881242311294180514e+00,5.013219241095237706e-03,5.663866502055107379e-04,1.109518692710848607e-05
1.883605052816047731e+00,5.130649572787662066e-03,5.853790834240568544e-04,1.018254435488751274e-05
1.883383545798372527e+00,4.375036190646944094e-03,6.079573995347348388e-04,9.806762503343099903e-06
1.884491080886747660e+00,5.538167657818492476e-03,6.277769321830655759e-04,1.110350715473390575e-05
1.885524780302564540e+00,4.309435964928168099e-03,6.464717717114346887e-04,1.004279055454701477e-05
1.886373890536985343e+00,5.158466790840959999e-03,6.664568583025044313e-04,1.103011732283236701e-05
1.888847385567690829e+00,5.024082134094814273e-03,6.890398643398420097e-04,1.148883144816706090e-05
1.890840948726766335e+00,5.590584370718019655e-03,7.065376221470840963e-04,1.114315397754097508e-05
1.891874648142583215e+00,4.974738369810681460e-03,7.274309083991997672e-04,1.062836591198222477e-05
1.892022319487700610e+00,5.424535561799473556e-03,7.465171793039032493e-04,1.179643913230133992e-05
1.894938828553754950e+00,4.677651569633890088e-03,7.672690397732175992e-04,1.024222863294338766e-05
1.897486159257018246e+00,4.456825415730895218e-03,7.858827770096410989e-04,1.122282181054689578e-05
1.898519858672835570e+00,5.289180666324080210e-03,8.058108915293802797e-04,1.111078611534824756e-05
1.898741365690510774e+00,5.123472162550267960e-03,8.274159925008105600e-04,1.102403672407603016e-05
1.900587257504469108e+00,5.039791739730221584e-03,8.453990173098669065e-04,1.172476950750557066e-05
1.900845682358423883e+00,4.514554785115435821e-03,8.682367229887590163e-04,9.220600970402839755e-06
