# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.004628288845093254e+00,5.130383921840073538e-03,-2.108942400309435013e-06,1.117007579148967648e-05
1.024194742073057052e+00,5.258945454014589058e-03,-3.193667985411456451e-07,1.056673689571826498e-05
1.044056537991255196e+00,5.492699154717027576e-03,6.605367549980044883e-07,1.160969214800903942e-05
1.061666345896423280e+00,4.885165850637951911e-03,2.432016751984364578e-06,1.152638278696279811e-05
1.080937456434154509e+00,4.526012299155755120e-03,-9.076867095202846907e-09,9.867673377401492635e-06
1.101759116095611057e+00,5.089040374025252146e-03,3.099514833045347869e-07,1.129297742737693695e-05
1.123319132482650806e+00,5.113353554774675153e-03,-7.249421393825084409e-07,1.057926303424000851e-05
1.143513188927361313e+00,4.497010720254772560e-03,-2.324862427333422810e-06,1.006059511976736320e-05
1.162267449757184101e+00,5.055182926097092320e-03,1.838768099506958622e-06,1.155144885799779438e-05
1.183642876962828439e+00,5.333317811985410946e-03,-2.517254515167357919e-06,1.084503779987604121e-05
1.202360219956371434e+00,4.800738423088405163e-03,5.210126078083204300e-07,9.612824855826583616e-06
1.225064689268066109e+00,5.100810668157188324e-03,-2.572244584315577439e-06,1.181167559956771708e-05
1.243855867934167803e+00,4.775119120244114557e-03,-1.626523449300568000e-06,1.193838017235096512e-05
1.265563555666324946e+00,5.354740942231552524e-03,-3.950993850780381070e-06,1.159015786066011865e-05
1.285056173221730713e+00,4.707567003646210245e-03,-3.393352672569806938e-06,1.074810636595271191e-05
1.304659544285974748e+00,4.988964443465433024e-03,-3.105825605071541677e-06,1.060271903613209072e-05
1.324225997513939213e+00,4.798182648407395279e-03,-1.637973914095533093e-06,1.062676309569850753e-05
1.343164847525157413e+00,4.554529985943782215e-03,-2.249932816867132909e-06,1.028047782087827881e-05
1.361882190518700630e+00,5.037627810158706865e-03,2.021609297479227100e-06,1.165363513916252635e-05
1.382260836144807215e+00,5.448352239161733009e-03,-9.221787049693824892e-07,1.143339219465389158e-05
1.403156331478822016e+00,4.552434779320107747e-03,7.360253725846262174e-07,1.019900046535747542e-05
1.422058263653761312e+00,4.510326258932234426e-03,1.749545012262680605e-08,1.087633781731935071e-05
1.444541225947780561e+00,4.726636585322561458e-03,-2.857257431368932825e-06,1.080031970947237671e-05
1.463073979759928367e+00,4.355053049059419076e-03,2.349915573991968262e-08,1.050528167484080073e-05
1.483637214567430362e+00,5.463091383545765241e-03,-2.962283281018068712e-07,1.203934607517487295e-05
1.504311202883770626e+00,4.431063203288208158e-03,7.910180971903990081e-08,1.038143662953036886e-05
1.522179435642892376e+00,4.787945907142088925e-03,3.293647417928055946e-06,1.053112119734421680e-05
1.540564518109923231e+00,4.314493248129334761e-03,6.981394917642399810e-06,9.660887661685328573e-06
1.559171107594628847e+00,5.022454197949858742e-03,4.981331623260532196e-06,1.114840405373904900e-05
1.577556190061659924e+00,4.586734736840256642e-03,8.132872604985891111e-06,1.084520954635787444e-05
1.595609012002177973e+00,5.726669250469454409e-03,1.193389396345154947e-05,1.147223000361540642e-05
1.612074366982691798e+00,5.907084536638833143e-03,1.399425602051705784e-05,1.145577024828734676e-05
1.627985954419016723e+00,5.057878305081559868e-03,2.180208207863262987e-05,1.050776006378304308e-05
1.642236239222780059e+00,4.739882135684245039e-03,3.022989808230158149e-05,1.101831875823709436e-05
1.655858920809796908e+00,4.402984040837218567e-03,4.145738280590492161e-05,1.076638548868388152e-05
1.669813862923326120e+00,5.386715889163431505e-03,4.887176869664686314e-05,1.214642071083384658e-05
1.682144420240571758e+00,5.210518072119260137e-03,5.835323184760406472e-05,1.116869805068031041e-05
1.692222989544787781e+00,5.394806333432223926e-03,7.527523226504393577e-05,1.130864597483191821e-05
1.701230941596907575e+00,4.724617702715426179e-03,9.103701657618521066e-05,1.082234596198521609e-05
1.709574372596001535e+00,5.052755855655807413e-03,1.072934518638255766e-04,1.129033025455646336e-05
1.716256500962532350e+00,5.693012857270841019e-03,1.251350488293964864e-04,1.124682642321663574e-05
1.725633631377443633e+00,5.070527393945827369e-03,1.383163390151418684e-04,1.094262929044240214e-05
1.731245142491878442e+00,5.488975879448117733e-03,1.630408176442176157e-04,1.223727662642972294e-05
1.738628709747714440e+00,5.186923152070486813e-03,1.794755422688084820e-04,1.087912727418524546e-05
1.742468164720748947e+00,4.929879082176541472e-03,2.023018510606182190e-04,1.040525342605254777e-05
1.748891868233326097e+00,4.633151682137694703e-03,2.265826182293719589e-04,9.960492703954037846e-06
1.753063583732872521e+00,5.493691601947973437e-03,2.468291031796939058e-04,1.128852667822948918e-05
1.757419888413816134e+00,4.361932579956407340e-03,2.708256823363883832e-04,1.006001095087600099e-05
1.762477631984063597e+00,5.206331234904665838e-03,2.928791826341200794e-04,1.155650405374206312e-05
1.766501676138494403e+00,4.386858111880467988e-03,3.159166226135954074e-04,1.059238212958673663e-05
1.769418185204548744e+00,4.571257067376677599e-03,3.403683080570162208e-04,9.765395481529552869e-06
1.774808189301309014e+00,4.816893505504193235e-03,3.586623301736855817e-04,1.130725633837819761e-05
1.775694217372009609e+00,4.524205147037754261e-03,3.893708768405828289e-04,1.089275677089145455e-05
1.779164493982252404e+00,4.532632359244797085e-03,4.109706134800834420e-04,1.135659834695946764e-05
1.782487099247378692e+00,4.979941069954232392e-03,4.377206138278806179e-04,1.168755078245942908e-05
