# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
1.503425174813070475e+00,4.278011087173611178e-03,-1.729146355299761898e-07,1.016190027825734514e-05
1.519226008740558020e+00,4.431063203288150044e-03,-1.746691790465617413e-06,9.987904712524198894e-06
1.533587047053158514e+00,4.183949056433077136e-03,7.272210118333840545e-07,1.049611341566832026e-05
1.547135892967616888e+00,5.605192664162462167e-03,3.698465926253153262e-06,1.161031671389280194e-05
1.562789055549988593e+00,5.762021593300591799e-03,1.376680781760041754e-06,1.170783693888282338e-05
1.578036121933289460e+00,5.310011886613171667e-03,1.582439394769234506e-06,1.130626157148479518e-05
1.592507913754727555e+00,5.072945961883937663e-03,1.158826148221851492e-06,1.178715832486688613e-05
1.607718062301749073e+00,5.592290637924117805e-03,1.901461563124879695e-06,1.163101744041947767e-05
1.622226771959465630e+00,5.895999216925547695e-03,1.852522595262715273e-06,1.212889900182724553e-05
1.636993906471136517e+00,5.449102649225065140e-03,-1.203864860667343413e-06,1.143039312018578683e-05
1.651871794491645451e+00,5.292014409182780807e-03,3.030145476303497211e-06,1.090793924307831280e-05
1.668263313799600578e+00,4.981856484596302974e-03,-3.238377304837878353e-07,1.158306774887177521e-05
1.683178119656388638e+00,5.118149073151940023e-03,-8.627356874999753648e-07,1.233292730606461915e-05
1.698978953583877072e+00,4.950019702351699316e-03,1.372784438990372885e-07,1.066232558720396228e-05
1.712527799498335668e+00,5.369483219839038882e-03,3.054902706519058866e-06,1.100806984603576660e-05
1.729805346876990724e+00,5.863779767462880960e-03,2.210392039756089422e-07,1.149142816545463159e-05
1.743575699809124302e+00,5.673588042684656399e-03,1.311539602005153708e-06,1.172591381607751280e-05
1.759376533736612958e+00,4.544644126322254334e-03,-1.549962493352374793e-07,1.048571452087682265e-05
1.774808189301309458e+00,5.534967471772820474e-03,-1.346726002619895179e-06,1.189647411099907435e-05
1.790129091357168134e+00,4.245711681402980150e-03,-3.394375332964409631e-06,9.998307720437154235e-06
1.804084033470697124e+00,4.942028460946883313e-03,-5.913654969067091193e-07,1.027235352997878595e-05
1.817706715057714195e+00,5.187185907479687288e-03,-1.214044820811803257e-06,1.150967682953596583e-05
1.833027617113573093e+00,5.151063554317590089e-03,-1.438591990003107802e-06,1.164022234862073891e-05
1.847573244607568999e+00,5.151328138828851350e-03,6.566248301756939667e-07,1.153876199647478585e-05
1.863780174734128936e+00,5.553404713228948623e-03,-1.297436714894416315e-08,1.179864631223777259e-05
1.878436555736962665e+00,4.683184324692805586e-03,6.860946545450552915e-07,9.351052735850633150e-06
1.893831293465379817e+00,4.799034724534815589e-03,-1.577377850807497092e-06,1.141567264959701256e-05
1.909742880901705409e+00,5.021640031970702085e-03,-4.721332675264801301e-07,1.167963887076702700e-05
1.923882412196630698e+00,5.888134488509104425e-03,-1.425920476905804466e-06,1.207452661518508333e-05
1.938317286181789667e+00,5.764859328805421908e-03,1.100272409377365508e-06,1.099124404039664053e-05
1.953748941746486167e+00,5.062995571908503883e-03,9.273350402676647917e-07,1.141441960452270223e-05
1.968663747603274672e+00,5.008323252387775898e-03,-1.166561818910505324e-06,1.070467435707852612e-05
1.982950950243316246e+00,4.596233550507556991e-03,1.523174158395881119e-06,1.046467665249956008e-05
1.995613768087074691e+00,4.648130056971264829e-03,2.204817859215413748e-06,1.000981278396993464e-05
2.011119259324328556e+00,5.203188896080079145e-03,4.336227949636500092e-06,1.125800325323139869e-05
2.025812558163442301e+00,5.992527930106616822e-03,2.353594097490846997e-06,1.218249438058336788e-05
2.040616610511392537e+00,5.398342090034234826e-03,3.586188501549530593e-06,1.118114820188769246e-05
2.056159019584926639e+00,5.731427201813988140e-03,3.518481584318568635e-06,1.197558640886756501e-05
2.069707865499384791e+00,5.334084405355286884e-03,4.291279774991466891e-06,1.138617618594925526e-05
