# #Ch2[V], #s_Ch2[V], #I[A], #s_I[A]
2.501461960784374661e+00,5.314886400302765330e-03,-3.304513977440399179e-07,1.078580558506348805e-05
2.513238750557432510e+00,4.717978148696432179e-03,1.600554108190344762e-06,1.039367806611538194e-05
2.523649580388160008e+00,5.914693642188394856e-03,-1.966567016616316990e-06,1.206759371406499384e-05
2.532620614604001119e+00,5.536690878718090840e-03,3.907246287620089450e-07,1.061686688407379996e-05
2.542551512563099969e+00,5.630423922101457541e-03,-3.114062153469439002e-06,1.109016602262534062e-05
2.551854807305452333e+00,5.217836953323767152e-03,4.168512763283286053e-07,1.130118564271826330e-05
2.563963857605022323e+00,4.326165572326483820e-03,-7.110510383235389624e-08,1.020589334639313868e-05
2.572048863750163505e+00,4.704381224756097081e-03,1.390722274713047574e-06,1.116732986096657143e-05
2.583862571359500038e+00,5.139143152649157734e-03,-2.041007683125715832e-06,1.085675818986021174e-05
2.592575180721385486e+00,5.992527930106646313e-03,7.499411639865032093e-07,1.266070256888267669e-05
2.603502860260022977e+00,5.332039911448996361e-03,3.906751724138418333e-07,1.118177406581663259e-05
2.615058143015405623e+00,4.948091963653557940e-03,-1.427743244123359615e-06,1.155496112518822917e-05
2.622958559979150284e+00,5.351431067096570730e-03,3.469157269067438715e-06,1.117197617648193201e-05
2.632077265540107014e+00,4.961295701506156230e-03,2.445666715506924870e-06,1.102270799301663575e-05
2.642746520224789286e+00,4.891299843620595250e-03,4.343160086819733534e-06,9.802994651746458127e-06
2.653231185728075925e+00,5.419508187631495374e-03,3.723834243126787756e-06,1.138806432861740788e-05
2.663494344213686915e+00,5.580335811466161262e-03,4.341805094240810339e-06,1.207915033356949545e-05
2.674680448606278294e+00,5.249866895818694132e-03,1.350435177190977172e-06,1.142846292180142996e-05
2.684426757383981510e+00,4.931537578130010605e-03,-1.670360689588675240e-07,1.091083498688405873e-05
2.693323955927263480e+00,5.555613070431812336e-03,3.371250483804665068e-06,1.126642634149870418e-05
2.703107182541245379e+00,4.992787614545324618e-03,1.799488301949569362e-06,1.054571491330266000e-05
2.712078216757087379e+00,5.712848782748409897e-03,5.336434286899482416e-06,1.154381961093534386e-05
2.722747471441768319e+00,5.284024513152283699e-03,4.231171157490433470e-06,1.156782405503853760e-05
2.731127820277142959e+00,4.474222437782469919e-03,3.918154755430832628e-06,1.168776584412064747e-05
2.742129335488338260e+00,4.518176086327427461e-03,3.021341678060791528e-06,9.987672968148835850e-06
2.749586738416730292e+00,4.487605593931224060e-03,6.424907347763888791e-06,1.123729768042511400e-05
2.758040922924662741e+00,5.017838844053913727e-03,6.646756895878347393e-06,1.090317045611515375e-05
2.766458189596316064e+00,4.493372361471182665e-03,1.260668647035700340e-05,1.057193113337200641e-05
2.776093744865181012e+00,4.884607832947955412e-03,1.066226086153679080e-05,1.122509667203012060e-05
