# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
1.500000000000000000e+00	2.253262784654136634e-06	2.378151721966333296e-07	-8.847321714318246980e-08	7.063290377757307758e-09
1.524999999999999911e+00	3.101533416851337526e-06	6.858733973459344240e-08	-9.008323189886395629e-08	4.912713169479330277e-09
1.550000000000000044e+00	3.339865792851967752e-06	3.991482603916011443e-08	-9.398569564823182377e-08	3.202929384668451816e-09
1.574999999999999956e+00	4.003604339327867661e-06	4.237212706079057653e-08	-9.770926886919070484e-08	4.081174114087193072e-09
1.600000000000000089e+00	5.037466479450841441e-06	4.125540082433891259e-08	-9.582760553333246818e-08	4.424158024267551361e-09
1.625000000000000000e+00	6.595261055024614837e-06	4.546634184503645532e-08	-9.751050161540282305e-08	5.132661613795479231e-09
1.649999999999999911e+00	9.170678813130846515e-06	5.697691487696767425e-08	-9.181913258194441649e-08	4.903926042740611683e-09
1.675000000000000044e+00	1.313827365845131441e-05	1.197246651808447346e-07	-9.399232122335810017e-08	3.290406964814998614e-09
1.699999999999999956e+00	1.915662095745915560e-05	1.060232221027281100e-07	-9.061990348409112727e-08	6.635415080402655628e-09
1.725000000000000089e+00	2.764891172511245353e-05	1.178396434960032673e-07	-8.739324839760186465e-08	3.334326853648091321e-09
1.750000000000000000e+00	3.908668515331702783e-05	1.516183127626351883e-07	-8.072129424545678723e-08	4.002683712882012501e-09
1.774999999999999911e+00	5.332634137787127434e-05	1.342228953881200386e-07	-8.169525378901719493e-08	4.282738654111605896e-09
1.800000000000000044e+00	7.044059528641633482e-05	1.554982009531677287e-07	-9.161373975303031124e-08	4.980905823699621858e-09
1.824999999999999956e+00	9.018366092761493790e-05	1.652334484937032302e-07	-9.018924110088412726e-08	2.120753349330989116e-09
1.850000000000000089e+00	1.120177370662547725e-04	1.830629723604002177e-07	-7.652730519053340656e-08	3.300268071981647750e-09
1.875000000000000000e+00	1.357215970839100350e-04	1.526742985024191049e-07	-7.717661155290701169e-08	3.329959613872826196e-09
1.899999999999999911e+00	1.610384755627664250e-04	1.568002541093894043e-07	-6.600589189003051406e-08	3.368047755781065081e-09
1.925000000000000044e+00	1.873764444240963499e-04	1.720931172485379745e-07	-5.563024124230538477e-08	3.553918600769457918e-09
1.949999999999999956e+00	2.147833702892991620e-04	1.522171415006586768e-07	-4.714287950556470238e-08	3.919051489895940106e-09
1.975000000000000089e+00	2.430148155625712814e-04	1.171844027711517006e-07	-4.432701007690366350e-08	5.248542918597971806e-09
2.000000000000000000e+00	2.721211509541589550e-04	1.663554809275451268e-07	-3.654195930354667834e-08	5.419609080917361186e-09
2.024999999999999911e+00	3.015632268733169259e-04	1.704731803257381782e-07	-2.348295072968572390e-08	4.592097169537515773e-09
2.049999999999999822e+00	3.316071509154773110e-04	1.710955135709718263e-07	-1.188819425872851258e-08	4.696600512466849137e-09
2.075000000000000178e+00	3.620081965515086105e-04	1.629569599296440754e-07	-4.096517910245265907e-09	3.624988935454545902e-09
2.100000000000000089e+00	3.927227348488244486e-04	1.659111567299382053e-07	1.124435289248610023e-09	2.980010314096217694e-09
2.125000000000000000e+00	4.239070787380763402e-04	1.473978050394637826e-07	5.477438147202260813e-09	2.265651235261954192e-09
2.149999999999999911e+00	4.551981353366073464e-04	1.586614379359571039e-07	2.022596837825983577e-08	3.696854217425267467e-09
2.174999999999999822e+00	4.867850596633929825e-04	1.572507823785971118e-07	4.365400202471966625e-08	5.043161735082449807e-09
