# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.299999999999999822e+00	7.061693296911745746e-07	1.516076825697327051e-07	-9.796104072398861256e-08	6.242997164359853750e-09
2.316999999999999726e+00	4.514702076363619982e-07	5.675319574908822932e-08	-8.912252350555606169e-08	3.333846276452884504e-09
2.333999999999999631e+00	1.276611244823895932e-06	7.017812600494615818e-08	-9.590048685972133656e-08	4.590890121471177706e-09
2.350999999999999979e+00	1.089907766046514966e-06	4.163503752597982296e-08	-9.172637453017675862e-08	5.812612187075863063e-09
2.367999999999999883e+00	2.341514395913660310e-06	4.616593441653562850e-08	-8.637290982815765449e-08	5.474599706806249706e-09
2.384999999999999787e+00	2.906904370892719827e-06	6.104320138658724064e-08	-8.474301834709739173e-08	3.503037499050285362e-09
2.401999999999999691e+00	5.172089116694892181e-06	4.362760376853884192e-08	-8.384194012992585241e-08	2.925335856718189784e-09
2.419000000000000039e+00	7.500742883630189812e-06	6.774553835929252469e-08	-8.205966042096156327e-08	4.671225468005950947e-09
2.435999999999999943e+00	1.209829376717463343e-05	6.137360744971112103e-08	-6.876213114255519766e-08	5.012045045646549211e-09
2.452999999999999847e+00	1.766752743404000455e-05	5.132704478386159509e-08	-5.717400024672424621e-08	4.419519353168863430e-09
2.469999999999999751e+00	2.556893461642881837e-05	4.273940451267659714e-08	-3.275213033132523176e-08	1.742960771221885418e-09
2.486999999999999655e+00	3.463445417883498367e-05	2.321946798853597944e-08	-7.157533618577969191e-09	4.760103399676830441e-09
2.504000000000000004e+00	4.610178018890389700e-05	7.645161066583946093e-08	4.611871597168885651e-08	8.079444025231834334e-09
2.520999999999999908e+00	5.902475230731873187e-05	9.186012555251687188e-08	8.739604900829653182e-08	4.471620237827717156e-09
2.537999999999999812e+00	7.261111534768009712e-05	7.071770691031255919e-08	1.400494945366947968e-07	6.016290369336226754e-09
2.554999999999999716e+00	8.798058226854493834e-05	8.234605490869188909e-08	1.963271296591579688e-07	3.410713895560628880e-09
2.572000000000000064e+00	1.036258842068984120e-04	8.476285972493529934e-08	2.491329634154602469e-07	5.196045778260413406e-09
2.588999999999999968e+00	1.204927962576147593e-04	5.225088503090384709e-08	3.117380227835029705e-07	3.851442888632488406e-09
2.605999999999999872e+00	1.376349654591620835e-04	4.557831038675073636e-08	3.765030196427067456e-07	3.280138166355127606e-09
2.622999999999999776e+00	1.557257027777604423e-04	3.590208954751269840e-08	4.499210176168078351e-07	4.065606980207600593e-09
2.639999999999999680e+00	1.739653370715809526e-04	1.240665977796351601e-07	5.170248424955819260e-07	5.098848219641822479e-09
2.657000000000000028e+00	1.927983441107722319e-04	4.442558070921562640e-08	5.936429932556671726e-07	2.230502596979136509e-09
2.673999999999999932e+00	2.117038734153845207e-04	6.942344340808691279e-08	6.702478928654997869e-07	3.607420312333129375e-09
2.690999999999999837e+00	2.311807202213012643e-04	2.908196839613470590e-08	7.500728219866954537e-07	5.179608773355826835e-09
2.707999999999999741e+00	2.507792079584635655e-04	4.737013723711244159e-08	8.264193241666040163e-07	4.384151121471845920e-09
2.724999999999999645e+00	2.708033907994296169e-04	7.724958532591633162e-08	8.986579697682305797e-07	2.957757216608733975e-09
2.741999999999999993e+00	2.906860926206025547e-04	4.530754463942873672e-08	9.644300540466261974e-07	5.167666154390002830e-09
2.758999999999999897e+00	3.112135010084863423e-04	3.871347213710966212e-08	1.039749592081964287e-06	3.871550383083175084e-09
2.775999999999999801e+00	3.314736460676241388e-04	6.966672607326192745e-08	1.112637544045964640e-06	4.658038486232418409e-09
2.792999999999999705e+00	3.522543526733825010e-04	4.086826630178350357e-08	1.202062931525112778e-06	5.651959278814429004e-09
2.809999999999999609e+00	3.730295695459010376e-04	4.725348309286377371e-08	1.277700497166511499e-06	1.200098160906550758e-09
2.826999999999999957e+00	3.939259457941189603e-04	6.149503934158119484e-08	1.367874574634927375e-06	3.302957188240361462e-09
2.843999999999999861e+00	4.149576391511241484e-04	6.449170528389657331e-08	1.444095190887436832e-06	5.760231728127779796e-09
2.860999999999999766e+00	4.359854800637511830e-04	5.021596965438228267e-08	1.531513029103327653e-06	3.002825846979997065e-09
2.878000000000000114e+00	4.572331992392710551e-04	7.268656283085762922e-08	1.608250440215685849e-06	3.295889000138723949e-09
2.895000000000000018e+00	4.783064989955621124e-04	4.374809570046385124e-08	1.698888307942939934e-06	7.642173694511450491e-09
2.911999999999999922e+00	4.997789119894469447e-04	5.810948966668442071e-08	1.785954990677139443e-06	1.841164953085905021e-09
2.928999999999999826e+00	5.211146595190113825e-04	6.096291626274999185e-08	1.872670517929646581e-06	3.325071793197933899e-09
2.945999999999999730e+00	5.426713447336717257e-04	3.966585641677722776e-08	1.963560157511698455e-06	5.469196560074681664e-09
2.963000000000000078e+00	5.641069668837437332e-04	4.946454571356950322e-08	2.035083240999689020e-06	3.258166567434914112e-09
2.979999999999999982e+00	5.859678025820724790e-04	1.855770382033969101e-08	2.122587211692221686e-06	1.854480605981585968e-09
2.996999999999999886e+00	6.076466102835255271e-04	5.096518740668705738e-08	2.219506124639171349e-06	6.498525735591461043e-09
3.013999999999999790e+00	6.294362720719648202e-04	1.006348095584763337e-07	2.304108093426401595e-06	3.280322178100499553e-09
3.030999999999999694e+00	6.511798008389739056e-04	7.398288814038798068e-08	2.378659064747093157e-06	2.595636177375270598e-09
3.048000000000000043e+00	6.731068985806099069e-04	3.052469662292802674e-08	2.469250553448463188e-06	5.964458502138757608e-09
3.064999999999999947e+00	6.949711051677696320e-04	6.000526077615867355e-08	2.555263769737587065e-06	4.637516869220016910e-09
3.081999999999999851e+00	7.168956988205591992e-04	7.640655384048236203e-08	2.638209344743251943e-06	7.544466202065869655e-09
3.098999999999999755e+00	7.388384952730362495e-04	8.449144241673171386e-08	2.726163854544370081e-06	8.137339214258718644e-09
3.115999999999999659e+00	7.608924347458276543e-04	7.979153092016460044e-08	2.813555190459756273e-06	5.408622592118087404e-09
3.133000000000000007e+00	7.830745643053090010e-04	9.358464324178054134e-08	2.891120798462897153e-06	6.582009533380624996e-09
3.149999999999999911e+00	8.052117165766722526e-04	6.614413928425021607e-08	2.981917679993181343e-06	3.215595775950141257e-09
3.166999999999999815e+00	8.274788888458034725e-04	1.185860625930532287e-07	3.062444920077760588e-06	4.697546781935159165e-09
3.184000000000000163e+00	8.495957194730719125e-04	8.283771657217401743e-08	3.153486947887717362e-06	6.070708292565068107e-09
3.200999999999999623e+00	8.718130025875033820e-04	7.734837481674060617e-08	3.234358717878861444e-06	5.870050172011804727e-09
3.217999999999999972e+00	8.940447323683550686e-04	9.595827751537698864e-08	3.320219545940081269e-06	2.437486866461128959e-09
3.234999999999999876e+00	9.163621790366238435e-04	1.081764349223902936e-07	3.404761884551174723e-06	5.560614333738173890e-09
3.251999999999999780e+00	9.384858477526628528e-04	7.815505595383403625e-08	3.478226261551159972e-06	3.219351204605685426e-09
3.269000000000000128e+00	9.608733125975081005e-04	5.738974475100297990e-08	3.562159047250637638e-06	9.458214451893895284e-09
3.286000000000000032e+00	9.831669704217405222e-04	1.107164800241418992e-07	3.641414176910975202e-06	5.106526366877411288e-09
3.302999999999999936e+00	1.005504738734104651e-03	1.483621296267972673e-07	3.721928165845301497e-06	5.840759208323437245e-09
3.319999999999999840e+00	1.027846166868627868e-03	1.135166061352217129e-07	3.812387143044146689e-06	5.830116469098500018e-09
3.336999999999999744e+00	1.050256264824195188e-03	1.007475203188209538e-07	3.894762918588953781e-06	6.358930028796935707e-09
3.354000000000000092e+00	1.072702479445809256e-03	6.377875543151066756e-08	3.983048707146384654e-06	9.229666342691036358e-09
3.370999999999999996e+00	1.095116526156864533e-03	8.033365583505455384e-08	4.065537117468336526e-06	3.094523077039959252e-09
3.387999999999999901e+00	1.117598953755634394e-03	8.193820111790041194e-08	4.156022596967686770e-06	5.310581356181884774e-09
3.404999999999999805e+00	1.140048154021641421e-03	1.393965655899125734e-07	4.237530422170952540e-06	3.855099868767553511e-09
3.421999999999999709e+00	1.162642976685148528e-03	7.520605784996786369e-08	4.322662436968283840e-06	7.812622140374747428e-09
3.439000000000000057e+00	1.185001451886047007e-03	5.048714342542126872e-08	4.409152694666499512e-06	6.603937105482692637e-09
3.455999999999999961e+00	1.207698364325579575e-03	9.727369608467948227e-08	4.495695956965724442e-06	6.028166573839464797e-09
3.472999999999999865e+00	1.230113085214400766e-03	1.163837569682419658e-07	4.580708711410783004e-06	5.062119341804178778e-09
3.490000000000000213e+00	1.252749129032756535e-03	1.029490303127320622e-07	4.670975546930964447e-06	2.907910501813709604e-09
3.506999999999999673e+00	1.275314769430097158e-03	1.349870377550298613e-07	4.765608636459353740e-06	6.447493166925382372e-09
3.524000000000000021e+00	1.297906413826992785e-03	1.095424666672267375e-07	4.843551902244692468e-06	4.910121149527629776e-09
3.540999999999999925e+00	1.320546984267492946e-03	1.191848909418315408e-07	4.925695782660079502e-06	4.954289029936090249e-09
3.557999999999999829e+00	1.343293496928396613e-03	1.163046274398048031e-07	5.016075252957410383e-06	8.640553989551826614e-09
3.575000000000000178e+00	1.366040780078176540e-03	1.067638514358628832e-07	5.107044399440977415e-06	3.930242355149218949e-09
3.591999999999999638e+00	1.388799427938870994e-03	9.995977356601048395e-08	5.180257004586163393e-06	4.277141036274281387e-09
3.608999999999999986e+00	1.411329433225714212e-03	1.467502586141337177e-07	5.264408434264806897e-06	6.516223663412344432e-09
3.625999999999999890e+00	1.434261344772324448e-03	1.108214066796406160e-07	5.345651236463022987e-06	5.487806334434523415e-09
3.642999999999999794e+00	1.456829970814058680e-03	7.977763773934507751e-08	5.427079554764774447e-06	5.898525937047215857e-09
3.660000000000000142e+00	1.479628298851851011e-03	1.190270500880261855e-07	5.510329906226247853e-06	5.629863897188318218e-09
3.676999999999999602e+00	1.502352274713140892e-03	1.154850726604786667e-07	5.593878408568402679e-06	5.720106932559269294e-09
3.693999999999999950e+00	1.525150506439823962e-03	1.017711112981499966e-07	5.673252798581010862e-06	5.500600194186529854e-09
3.710999999999999854e+00	1.548009703098793309e-03	1.171210411806899916e-07	5.764679109748289630e-06	5.934002460821784273e-09
3.727999999999999758e+00	1.570734449448959232e-03	8.612712171612335981e-08	5.842920526414308082e-06	4.033111718539304249e-09
3.745000000000000107e+00	1.593596535441213578e-03	5.558173288322855928e-08	5.928085669087271967e-06	7.899334824115670869e-09
3.762000000000000011e+00	1.616303945791676671e-03	1.265725129498928245e-07	6.021612287569577429e-06	4.953447196190984683e-09
3.778999999999999915e+00	1.639110267651553527e-03	1.807841492297816923e-07	6.095407943325874567e-06	8.009655824500943884e-09
3.795999999999999819e+00	1.662017234620813671e-03	9.359740368661686513e-08	6.191293266553127175e-06	7.604643656587771284e-09
3.812999999999999723e+00	1.685114223409035121e-03	1.311034424746761202e-07	6.272204789995028413e-06	3.851656592768303253e-09
3.830000000000000071e+00	1.707927575979903021e-03	1.154170612497197025e-07	6.362405369763949765e-06	9.665313055026672909e-09
3.846999999999999975e+00	1.730821059393839248e-03	1.356956885251573893e-07	6.447013964126306698e-06	5.911303447615944615e-09
3.863999999999999879e+00	1.753741317296205002e-03	1.083279513544268779e-07	6.535637657015178263e-06	3.373283248529643820e-09
3.881000000000000227e+00	1.776686038220373675e-03	1.386702725672871255e-07	6.619928223771473716e-06	6.291314154659459526e-09
3.897999999999999687e+00	1.799494960480205142e-03	1.264157147996977088e-07	6.703973644248095315e-06	7.302483960561934454e-09
3.915000000000000036e+00	1.822570279268798761e-03	6.631937820685604143e-08	6.792782853240502249e-06	6.961501275486932268e-09
3.931999999999999940e+00	1.845283275663610724e-03	1.195952678614183417e-07	6.867300696685564189e-06	4.324747418022844017e-09
3.948999999999999844e+00	1.868267002587109191e-03	9.972281746687880028e-08	6.963583554420394281e-06	5.824325239064938678e-09
3.966000000000000192e+00	1.891179074045171464e-03	1.083591366089387634e-07	7.043362104515705788e-06	5.562913130431013893e-09
3.982999999999999652e+00	1.914202384834656377e-03	6.603663067120639616e-08	7.123664075045992509e-06	4.479550313897202561e-09
4.000000000000000000e+00	1.937061292560297941e-03	1.235398259825414703e-07	7.214918121259988434e-06	6.216634537300295714e-09
