# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
1.500000000000000000e+00	2.142408697667940658e-06	2.387034174802388231e-07	-9.505241324355990257e-08	1.049134245416763437e-09
1.524999999999999911e+00	2.796419822088669247e-06	6.826334818480194163e-08	-8.145010750934552391e-08	5.616346488226903021e-09
1.550000000000000044e+00	2.881039667394470051e-06	6.499811942852614971e-08	-8.812206166149061456e-08	3.868331696518075177e-09
1.574999999999999956e+00	3.279152173985392311e-06	8.245327898155195012e-08	-9.314424760719666619e-08	2.275607767821680609e-09
1.600000000000000089e+00	3.830014100177065116e-06	8.766369236651746050e-08	-8.615426584899102290e-08	4.450362365085726118e-09
1.625000000000000000e+00	4.800407219166850939e-06	1.215010929995618892e-07	-8.960619048977314057e-08	4.310681359564238468e-09
1.649999999999999911e+00	6.133507976375405789e-06	7.388254900740595886e-08	-8.441836516591057593e-08	5.599487135643270469e-09
1.675000000000000044e+00	8.639389113453182562e-06	9.987775498130137783e-08	-9.554270580290323139e-08	8.783948522677445992e-10
1.699999999999999956e+00	1.242688218408723946e-05	7.988633525719246442e-08	-9.617213543989807349e-08	3.394978572370393821e-09
1.725000000000000089e+00	1.801105900165885193e-05	9.055247133652158791e-08	-9.302498725492395564e-08	3.344711466666397462e-09
1.750000000000000000e+00	2.585719853595876404e-05	1.702431605802720396e-07	-8.941404881111156165e-08	5.838731456920297856e-09
1.774999999999999911e+00	3.638126846873609586e-05	2.187575249048296577e-07	-9.282622000113612679e-08	3.536089990688481133e-09
1.800000000000000044e+00	4.970394662014196820e-05	2.149576042894826461e-07	-9.224316939002512686e-08	2.986565721541453054e-09
1.824999999999999956e+00	6.575271072475384680e-05	3.242205321538060938e-07	-8.977182986792966682e-08	2.686088564034633793e-09
1.850000000000000089e+00	8.467578358002805046e-05	3.325141019164581545e-07	-8.903639102891469345e-08	3.998170906581970780e-09
1.875000000000000000e+00	1.058513806633035588e-04	3.587187917992883805e-07	-7.514918556427106475e-08	6.144618169155261797e-09
1.899999999999999911e+00	1.289908575795353492e-04	4.007089190987999767e-07	-7.687846067222524856e-08	3.246115996596116543e-09
