# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
1.500000000000000000e+00	2.772475975741862708e-06	1.713516066367685439e-07	-8.969894854154079845e-08	4.593468755853880965e-09
1.514999999999999902e+00	3.994679907261511378e-06	8.357082625228912580e-08	-9.147460267537882442e-08	4.462908912540006707e-09
1.530000000000000027e+00	4.102853235682119032e-06	8.272516028887979851e-08	-8.866535882184406195e-08	7.370487034127612496e-10
1.544999999999999929e+00	4.199372919857698465e-06	1.178974459997429024e-07	-8.957968818926810114e-08	3.953081535355393678e-09
1.560000000000000053e+00	5.510664627626471639e-06	5.392058983200134993e-08	-9.823931487929158619e-08	6.492750929625439536e-09
1.574999999999999956e+00	6.079590303693454300e-06	7.582559640729353987e-08	-1.023272947321947694e-07	5.936424728404051207e-09
1.590000000000000080e+00	8.131899687631304079e-06	1.798095140285443261e-07	-9.850433788434202025e-08	5.743383916013868907e-09
1.604999999999999982e+00	9.716329701822255222e-06	1.490323317280843656e-07	-1.022544134058059010e-07	7.840251923595209799e-09
1.620000000000000107e+00	1.298552995376093728e-05	6.844552803819386505e-08	-9.937228822588224373e-08	1.772338250209043392e-09
1.635000000000000009e+00	1.550427404080322589e-05	1.190312777392548219e-07	-1.022279111053008616e-07	4.338747639897111933e-09
1.649999999999999911e+00	1.934768112732991182e-05	8.337741802758132538e-08	-8.913577465580860126e-08	6.220109548335740525e-09
1.665000000000000036e+00	2.493595658390572930e-05	6.904159807498946927e-08	-9.001697614760133785e-08	2.928687827415727083e-09
1.679999999999999938e+00	3.104469727599171614e-05	1.303984846044879574e-07	-1.025658154367401773e-07	7.912283619896402964e-09
1.695000000000000062e+00	3.859222963227016150e-05	5.555009892706209837e-08	-9.538369199987296831e-08	4.388754657302725162e-09
1.709999999999999964e+00	4.704036717308888646e-05	2.953313861686616471e-08	-1.044474787725983742e-07	4.732576472468859918e-09
1.725000000000000089e+00	5.623356745667483145e-05	6.811984075513911619e-08	-9.920664884772573072e-08	3.134873909668351649e-09
1.739999999999999991e+00	6.701445637967373638e-05	1.042130709441441867e-07	-9.222991823977260053e-08	2.205620025340451914e-09
1.754999999999999893e+00	7.835866898189231358e-05	8.671712384494244782e-08	-9.480064138876196838e-08	6.867987892294414030e-09
1.770000000000000018e+00	9.088991600817957601e-05	3.391074364669263435e-08	-9.590048685972133656e-08	4.933269052831321748e-09
1.784999999999999920e+00	1.034509231672895140e-04	8.621329189045332777e-08	-9.453561838371153432e-08	5.754717260582555131e-09
1.800000000000000044e+00	1.171902004395077051e-04	5.587214904048836362e-08	-9.976982273345792790e-08	6.596802377433120898e-09
1.814999999999999947e+00	1.315287254347728588e-04	7.693494552625065734e-08	-9.627151906679196806e-08	5.651139810650796930e-09
1.830000000000000071e+00	1.461954786910709726e-04	6.460612826511896071e-08	-9.444948590707012638e-08	5.928470066352411434e-09
1.844999999999999973e+00	1.615813870016909984e-04	9.707431262164139068e-08	-8.241081590265340527e-08	4.206606293342592632e-09
1.859999999999999876e+00	1.772769355292178701e-04	6.831211277063243407e-08	-8.892375625176823284e-08	3.504318608661194079e-09
1.875000000000000000e+00	1.932375322299735197e-04	1.090415947442197317e-07	-8.605488222209712833e-08	4.763373823350126893e-09
1.890000000000000124e+00	2.099020668297570168e-04	1.388402394425302569e-07	-8.934116748472269328e-08	3.156942283418941249e-09
1.905000000000000027e+00	2.265326036079014465e-04	1.012410957523871933e-07	-7.850835215328552455e-08	6.660421803652808282e-09
1.919999999999999929e+00	2.436388209556588822e-04	1.021183927689030592e-07	-7.925704214255305072e-08	2.934071442407292230e-09
1.935000000000000053e+00	2.607100773706829831e-04	7.576621197919262874e-08	-7.508292981300845955e-08	2.508176200619276568e-09
1.949999999999999956e+00	2.783233727097363629e-04	7.653770607842692528e-08	-7.548708989571039366e-08	4.824610784087495327e-09
1.964999999999999858e+00	2.961394029341982191e-04	1.152974720962326257e-07	-7.108108243674665779e-08	5.429277801714559515e-09
1.979999999999999982e+00	3.139659310695914682e-04	6.690874251585960611e-08	-7.465226742980148601e-08	3.097022312796869575e-09
1.995000000000000107e+00	3.321906093314837640e-04	1.075965154103363314e-07	-7.314826187614017049e-08	3.600264000191245571e-09
2.009999999999999787e+00	3.503203248394500370e-04	1.051848500116716743e-07	-6.929217715265610548e-08	3.675095497386544846e-09
2.024999999999999911e+00	3.688570510959859991e-04	1.254761892335463350e-07	-7.843547082689665618e-08	6.148772890068997520e-09
2.040000000000000036e+00	3.872982367319395026e-04	6.670081494846896405e-08	-5.871113367601687756e-08	8.920072841269756181e-09
2.054999999999999716e+00	4.058883193431148052e-04	7.310673017035019150e-08	-6.090419904280934412e-08	4.477156097533731507e-09
2.069999999999999840e+00	4.247456652830358280e-04	1.046912613579722582e-07	-5.965196534394597604e-08	3.386268509317075046e-09
