# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.000000000000000000e+00	2.533546203893932277e-06	1.648755477835764927e-07	-9.289910132752499516e-08	5.032345664907787479e-09
2.020000000000000018e+00	2.921283896866973282e-06	5.812126094844943116e-08	-8.918877925681868013e-08	3.850927100472961984e-09
2.040000000000000036e+00	3.628967095459365522e-06	5.478642033258133904e-08	-8.851959616906628550e-08	2.278624774703216704e-09
2.060000000000000053e+00	4.612677933758067596e-06	5.601561266189311010e-08	-8.419972118674394434e-08	7.656936414225054690e-09
2.080000000000000071e+00	6.117046629786169077e-06	8.247183906426819859e-08	-7.526182034141749890e-08	3.003030505701226023e-09
2.100000000000000089e+00	9.587125069850734759e-06	5.833631557351813205e-08	-8.172175608952224760e-08	5.255584773596555363e-09
2.120000000000000107e+00	1.330751608339593800e-05	5.577581656730127946e-08	-7.758077163560895903e-08	5.101301320939990925e-09
2.140000000000000124e+00	1.846236476120738756e-05	6.990879724210567931e-08	-6.953732343232776327e-08	4.165461195685294585e-09
2.160000000000000142e+00	2.553496025054548065e-05	2.468525319485339505e-08	-5.698848414318893707e-08	1.393868899750456697e-09
2.180000000000000160e+00	3.469837361510466639e-05	8.895166536688951907e-08	-3.978849111541470399e-08	4.401903170569058619e-09
2.200000000000000178e+00	4.643550875770847259e-05	9.670678543782370180e-08	-2.733240987804351912e-08	3.112550353449680724e-09
2.220000000000000195e+00	5.952716334372796256e-05	6.586416034398013091e-08	2.038764656672665340e-09	2.114612271337117174e-09
2.240000000000000213e+00	7.408910332673207338e-05	9.388127635683212470e-08	5.196247323305128944e-08	6.724493641280257927e-09
2.259999999999999787e+00	9.035940976929978383e-05	1.385542178290257191e-07	9.410775661119918824e-08	4.911730150518232377e-09
2.280000000000000249e+00	1.076084297061806488e-04	1.078172221591410959e-07	1.346960298346757191e-07	3.965720820416671310e-09
2.299999999999999822e+00	1.263359214843483693e-04	6.706386748260925551e-08	1.898605683359269702e-07	5.175435172242048502e-09
2.319999999999999840e+00	1.455526736985631006e-04	6.467393190909816329e-08	2.404269576995528800e-07	4.303182254456341992e-09
2.339999999999999858e+00	1.654298311903310047e-04	1.444836299977557264e-07	3.011503537317374464e-07	6.159103775913604778e-09
2.359999999999999876e+00	1.859822258705074740e-04	8.953458056278822402e-08	3.518558801730148562e-07	4.454591998761284456e-09
2.379999999999999893e+00	2.072952856931833574e-04	1.042871440409688187e-07	4.141031584842393687e-07	3.045361840000445276e-09
2.399999999999999911e+00	2.289477458655889250e-04	1.112808708630102987e-07	4.608200886995075694e-07	4.390979635725561264e-09
2.419999999999999929e+00	2.509099425660107625e-04	1.110432426191376358e-07	5.381339248478503427e-07	4.999078757820905096e-09
2.439999999999999947e+00	2.730613905965175933e-04	7.711146437589576229e-08	6.019580900391251185e-07	2.390593445505799081e-09
2.459999999999999964e+00	2.958162277277783274e-04	9.911009824877228311e-08	6.538032154021194755e-07	6.048894278160835691e-09
2.479999999999999982e+00	3.188001889884393156e-04	6.511824093506343859e-08	7.265785325889731437e-07	4.034738617271208213e-09
2.500000000000000000e+00	3.418601397144627467e-04	1.076045541356089688e-07	7.866194943831526038e-07	3.512814075458981064e-09
2.520000000000000018e+00	3.650866123487388074e-04	1.265611533101156662e-07	8.557706219759415899e-07	4.855843735702612843e-09
2.540000000000000036e+00	3.884467648029426299e-04	1.110004234487747055e-07	9.116175947151976296e-07	1.469011185460364973e-09
