# Vcmd[V]	<I_LED>[A]	SE_I_LED[A]	<I_PD>[A]	SE_I_PD[A]
2.600000000000000089e+00	3.635568006421508512e-08	1.306079142019600836e-07	-9.389956317159044229e-08	3.992905474674242856e-09
2.619000000000000217e+00	-2.676269200705667045e-07	8.499920582314846588e-08	-9.083192188813148246e-08	3.590404601737916132e-09
2.637999999999999901e+00	1.428262897530592747e-07	3.681314996500194361e-08	-9.238230646767661368e-08	1.175754930685291673e-09
2.657000000000000028e+00	8.891163382566712729e-07	5.793003151569464540e-08	-9.122945639570715340e-08	5.584102166687379595e-09
2.676000000000000156e+00	5.787772048981842816e-07	4.129770510697718302e-08	-1.030826102965885588e-07	4.721139554013885191e-09
2.695000000000000284e+00	1.514607516815131169e-06	4.506922591361072988e-08	-9.321712893358553456e-08	2.446591740997823240e-09
2.713999999999999968e+00	2.567648448941848731e-06	3.689406956283572307e-08	-9.674193490075653384e-08	2.873055958130426022e-09
2.733000000000000096e+00	2.796747839656939956e-06	1.975587134984560463e-08	-9.430372325429238963e-08	4.716511415649222296e-09
2.752000000000000224e+00	7.645794839957556499e-06	4.876805062679336596e-09	-9.254132027070688999e-08	3.481564786577274439e-09
2.770999999999999908e+00	3.553284446702985045e-05	0.000000000000000000e+00	-8.096644052512845826e-08	7.089029454289456016e-09
2.790000000000000036e+00	6.347402093761826626e-05	0.000000000000000000e+00	-8.520018303080940471e-08	4.751634570824741204e-09
2.809000000000000163e+00	9.141519740820668884e-05	0.000000000000000000e+00	-7.481128123283173585e-08	3.707324561849969609e-09
2.828000000000000291e+00	1.193563738787951114e-04	0.000000000000000000e+00	-6.743039054217669803e-08	3.740561136340561518e-09
2.846999999999999975e+00	1.472975503493828835e-04	0.000000000000000000e+00	-5.239696058068987884e-08	5.135455456464373230e-09
2.866000000000000103e+00	1.752387268199713196e-04	0.000000000000000000e+00	-2.435752664635221055e-08	3.626214855318560746e-09
2.885000000000000231e+00	2.031799032905597558e-04	1.355252715606880543e-20	3.558685746023038587e-10	5.122960068918046063e-09
2.903999999999999915e+00	2.311210797611475414e-04	1.355252715606880543e-20	3.100577910868691239e-08	3.547693882992320174e-09
2.923000000000000043e+00	2.590622562317359233e-04	0.000000000000000000e+00	9.146415213582093878e-08	2.831718411558552585e-09
2.942000000000000171e+00	2.870034327023243594e-04	0.000000000000000000e+00	1.442832370423757432e-07	4.193135912268911791e-09
