# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+04,1.438219314873232069e+00,1.385375220929016549e-01,-1.398901533118537488e+00,4.769146623079325020e-01
1.009271514630571801e+04,1.518219060161899225e+00,4.800332542621853216e-02,-1.556493528500489942e+00,3.036652791186616324e-02
1.018628990244686429e+04,1.491830837749259731e+00,4.296249729557469893e-02,-1.542617834205536109e+00,2.767642335733325187e-02
1.028073223830864663e+04,1.517702118879283191e+00,3.125435056833463648e-02,-1.558785859113274386e+00,3.594823634930337936e-02
1.037605019766911755e+04,1.539912109827806130e+00,3.309269561450918495e-02,-1.550441493758968559e+00,3.366531575375683594e-02
1.047225189888435489e+04,1.562231778084538281e+00,3.239685686626797567e-02,-1.560319323600984687e+00,3.178960279871467787e-02
1.056934553557987238e+04,1.527256708006264896e+00,6.168855669849928475e-02,-1.529295509788571872e+00,3.105296095408928078e-02
1.066733937734857136e+04,1.563238328266368660e+00,2.828264708244126319e-02,-1.559411391582663731e+00,2.093364562789987518e-02
1.076624177045493343e+04,1.564543744330626707e+00,5.633340892094673702e-02,-1.545012919646881588e+00,1.695956252667429193e-02
1.086606113854597970e+04,1.608635169684232924e+00,5.164528285516714612e-02,-1.560695071442846693e+00,3.079389213893097069e-02
1.096680598336867479e+04,1.619619085239484280e+00,4.766776332519417902e-02,-1.566139093753798450e+00,2.688750097719071544e-02
1.106848488549411923e+04,1.650580084696221750e+00,4.466992293927947444e-02,-1.540928567877047239e+00,1.372551282127223819e-02
1.117110650504824116e+04,1.640148261663015861e+00,3.845064748815303635e-02,-1.557482471242756850e+00,2.731175112396838980e-02
1.127467958244947295e+04,1.638417837941881228e+00,8.305338274328628867e-02,-1.556747781419499654e+00,2.747173787350800853e-02
1.137921293915313981e+04,1.688783361842378428e+00,4.337405645203582655e-02,-1.568193896579833657e+00,1.658116710588721995e-02
1.148471547840288986e+04,1.704259398257723657e+00,2.146764332978239390e-02,-1.566745660158628262e+00,2.303080084104574057e-02
1.159119618598885791e+04,1.715680009966514818e+00,4.379706867480095966e-02,-1.558188384312212182e+00,2.007954807095752719e-02
1.169866413101308171e+04,1.713726787806235663e+00,2.458387904947359828e-02,-1.578901245269544562e+00,2.820353418751684813e-02
1.180712846666189034e+04,1.747136690790844327e+00,4.976959333843933297e-02,-1.562227235392098512e+00,1.816151050718406434e-02
1.191659843098558849e+04,1.776841535358504087e+00,4.092242740710758109e-02,-1.558641953007250835e+00,2.468167415732710687e-02
